Name,S1,S2,S3,S4,Cluster
Normal stress,0.29758667363686203,0.7724975919294281,0.7290048046582153,0.6273168798973644,D
Coulomb shear stress,0.29270867314003385,0.7409613164991578,0.7830884065320739,0.5844388113668879,D
Dilation,0.5263689091576956,0.3104151724681538,0.8143861523875513,0.7613661809807368,A
Faulting,0.710090984467145,0.17752356175445203,1.0,0.8438308909650681,A
Fault dilation tendency,0.4432547144286686,0.7561394354668245,0.3735629292395653,0.41655827723740363,B
Fault slip tendency,0.33024948812440597,0.5197570334350428,0.2590181515554093,0.2919811645018424,B
Fault curvature,0.39296804856878736,0.6781497716059628,0.3294240557545903,0.3764160550143923,B
Temperature,0.11166944729748843,0.11639287363320472,0.094169628135673,0.10580099515192284,C
Fault density,1.0,0.2863437108015639,0.6866213599447066,0.8462531171719471,A
Fault intersection density,0.6536413408493729,0.7689255030103221,0.30681745149445716,0.6911350632530557,C
Inverse distance from faults,0.7974756679206457,1.0,0.980576024661314,1.0,C
