Name,S1,S2,Cluster
Normal stress,0.5937124847175551,0.6971352973311404,B
Coulomb shear stress,0.5615972285581871,0.7561226744781824,B
Dilation,0.6221268125470767,0.7783361953692302,B
Faulting,0.6735085919299537,0.995111401437123,B
Fault dilation tendency,0.5249674158018767,0.44355176197023277,A
Fault slip tendency,0.3717203322577542,0.31025728081727655,A
Fault curvature,0.4718887730433547,0.3897466261705202,A
Temperature,0.11666452222859143,0.10391430845349572,A
Fault density,0.8017206087833307,0.8182881722961526,A
Fault intersection density,0.7642861244308471,0.3927102871497507,A
Inverse distance from faults,1.0,1.0,A
