Name,X,Y,S1,S2,S3,S4,Cluster
15-12,327137.93,4.40603467e6,2.7498375210006433e-16,0.3457358557498204,0.5307196973311036,2.0305730316421364e-16,D
17-31,328813.04,4.40882204e6,0.635163252713262,7.929886855355446e-10,2.761840455277599e-16,0.34719044558589923,B
18-1,327026.54,4.40703217e6,6.538738221293403e-10,0.09004062787092663,1.0,0.0016484581573975375,C
18-31,328801.97,4.40871725e6,0.7681491644215511,2.882114689958439e-8,0.3748674908155675,0.06427368567087316,B
18A-1,327056.33,4.40703775e6,2.7498375210006433e-16,1.3499362729422003e-16,0.7495312466797528,0.26830532727462186,C
18B-31,328791.32,4.40871144e6,0.7430065520172624,5.770994552831683e-9,0.41196525748019835,0.029529894796566973,B
18D-31,328751.91,4.40862911e6,0.5243134375253571,0.013676996935175626,0.5430108216655241,0.13191358174226156,B
22-13,327161.72,4.4051245e6,0.24941200836432456,7.284174911901722e-6,0.18485185283748817,0.31262749269201473,A
26-12,327300.66,4.40579963e6,0.5430985577034649,0.22343775804053542,2.761840455277599e-16,0.12008785481343325,B
27-1,327256.49,4.40720478e6,2.7498375210006433e-16,0.1814265724344919,0.6136499153661967,0.10552281789637143,C
27A-1,327256.49,4.40720478e6,2.7498375210006433e-16,0.18142687104923436,0.6136505128579066,0.10552235341642112,C
46-1,327805.01,4.40748476e6,0.527134244829532,0.09875339095857678,9.282744344679033e-10,0.47760686518575574,A
46A-1,327774.78,4.40740108e6,0.4677857726170246,0.12285919443344591,2.761840455277599e-16,0.49434692911051614,A
47A-1,327661.35,4.40729129e6,0.33353201688607725,0.03051766548750918,2.761840455277599e-16,0.6603495761608301,A
47C-1,327746.25,4.4073085e6,0.021073733793980035,0.15676711459614853,4.75472129894538e-16,0.7603126200697585,A
48A-1,327704.9,4.40718065e6,2.7498375210006433e-16,0.00026484713402503816,2.761840455277599e-16,1.0,A
55-1,328014.47,4.40772054e6,0.47307994469698045,0.011897012093823184,0.34943816721715165,0.4753155563733483,A
56-1,327963.43,4.40755491e6,0.7481725149532078,0.002092896949020317,0.002536476722713347,0.5448513635532453,A
56A-1,327859.51,4.40755578e6,2.7498375210006433e-16,0.1747917372031566,0.40706276685046766,0.5477876470367269,A
56B-1,327891.35,4.40745289e6,0.1695581665940008,1.8585330574052827e-9,2.761840455277599e-16,0.976569483956791,A
57-1,327931.46,4.40741438e6,0.6668000101483843,0.07986583528403378,2.4715816573277353e-14,0.5518144695378527,A
64-1,328156.6,4.40795433e6,0.870582749482567,1.3499362729422003e-16,0.2960318228146815,2.0305730316421364e-16,B
68A-1,328229.72,4.40707921e6,0.6907987159220609,0.17589486641598415,0.2825033031642817,0.011210678910175772,B
68B-1,328065.7,4.40706164e6,0.695880355447221,0.2791892413969375,0.3038307510671237,5.98441219575255e-16,B
77-1,328214.13,4.40718169e6,0.284150125501826,7.537969500846495e-15,0.6282038509555086,0.37297386383305875,C
81-1,328567.28,4.40851194e6,0.9875901366810386,2.8978057015325843e-9,3.109020939304149e-5,0.0778220340257232,B
81-11,326859.34,4.4069495e6,2.7498375210006433e-16,0.16531098914909517,2.761840455277599e-16,0.5508003526694389,A
81A-1,328598.76,4.40855648e6,1.0,4.59690894715059e-8,1.0546369358383814e-6,0.05694037956220746,B
81B-1,328528.63,4.40843124e6,0.6124982446802303,0.010363626371759175,0.5529253819836005,0.011221472660059939,B
