Name,S1,S2,S3,Signal
Normal stress,0.31019863073061754,0.792729244456636,0.8558296779719127,A
Coulomb shear stress,0.32684237622688644,0.8284455600629805,0.796842003478714,A
Dilation,0.6326734149894507,0.7434479165996888,0.6909631815109539,C
Faulting,0.8656533326285317,0.8373703700719208,0.6784418992463626,B
Fault dilation tendency,0.38763558623917765,0.5766666251674641,0.6321232319548657,C
Fault slip tendency,0.28776976020002915,0.3938861954755703,0.43954528349011895,C
Fault curvature,0.3438223804407504,0.5084910842663983,0.5713236621969915,C
Temperature,0.10062454670023466,0.12224943203920706,0.13692645351077773,C
Fault density,1.0,0.7022094966583922,0.7971177291248389,B
Fault intersection density,0.6112058449138739,0.4948537920109415,0.8786463084849891,C
Inverse distance from faults,0.7130715683516131,1.0,1.0,C
