Name,S1,S2,S3,S4,S5,S6,S7,S8
Boron concentration,1.4478502973004685,2.5683809908954833,0.9656989651647809,4.715810660407609,5.264984876712625,1.185884812469093,6.0e-323,2.236770103369613
Gravity anomaly,0.00012867628548875057,6.367949113179267,0.33281736601547396,10.413751559506785,5.0e-323,0.6012023717484914,0.20351829630957033,1.53008760567769e-76
Magnetic intensity,0.780633437952348,7.220359897420079,7.043830000518904e-13,4.655081149213608,5.418589815536473,0.14589021843255692,2.530275504774195,2.5318651386174307e-142
Volcanic dike density,3.0e-323,7.647915836551862,1.6048204696257655e-290,4.0e-323,1.5e-323,8.998e-320,1.171162888908976,1.5e-323
Drainage density,0.5399246567536126,10.41946206009599,6.297133153563432e-64,1.1198956861382652e-242,3.655466056722421,2.1319931868277715,5.6738873000808394e-101,7.818991134870506
Fault intersection density,4.25806263076836,1.4572331691460327,9.0e-323,2.0e-323,0.0,1.3038895438006992,1.0e-323,1.5e-323
Quaternary fault density,7.40844924742072,1.883527514779932e-220,1.3e-322,1.425696491316136,1.5e-323,0.16539564835162568,3.31574733376134e-165,3.999537215722594e-301
Seismicity,2.500586918529437e-106,1.499538117758899e-240,9.0e-323,0.14049097755135842,1.5e-323,4.503637086296176,1.1024633702943532e-220,3.0e-323
State map fault density,1.6416793833216876,2.0026205198384015e-107,6.49669013783428e-118,1.270889844813831e-155,0.7267576775691049,2.9828644829066375,2.0458456264135196,6.957692930720107
Spring density,3.096585040716416e-180,1.3130383991623067e-14,2.136369719590921,4.0e-323,2.4237307847001373,4.309978471467388,0.25747167475796784,9.90626603373198e-305
Volcanic vent density,3.280585974983735,2.5e-323,6.4e-323,1.1823256670107698,1.3078340535036213,3.808921883896952e-288,0.49394151310689016,0.8988363292306352
Lithium concentration,2.8250869339891325,3.7686957760018114,20.623418645572922,1.9608605553746862e-5,4.424757555930495e-5,0.00013828756539014108,3.7098190782572037e-7,0.45811870615426853
Precipitation,3.0e-323,1.3657540946417002,0.09537802092702864,9.4e-323,0.03940012213552008,3.5e-323,6.501365870790479,5.903928934964613
Silica geothermometer,1.9024507116717626,3.0604017613868075,1.0538177323996629e-34,5.965518677707815,8.4e-323,1.6019225401601268e-192,8.78307460841897e-17,6.8294996903475225
Hydraulic gradient,7.200825418672915e-5,2.2903472876257492e-220,2.0866973317145578e-190,0.4399329723186427,0.5510380777625138,2.302471638609397,6.755861620028011,1.8090840101046495
Heat flow,6.4e-323,1.7863201561488373,1.4714913279360472e-86,5.498600069741109,2.4042611287318247,1.3888905577836816,0.5974508277815471,2.0958638138274504
Crustal thickness,0.10028979628220461,2.1759225423128523,1.8207607175061374e-28,8.0e-323,9.131808461034243,0.8161014595058612,1.716275226545944,1.8222712017262792
Depth to basement,0.2252420896145421,2.5e-323,6.814164897199819e-268,7.282138866862977,2.678483837125945,3.5e-323,6.0e-323,0.3612388530585327
