Name,S1,S2
Boron concentration,9.609794961302113,8.25086132013596
Lithium concentration,17.85068650027004,10.04558147337939
Drainage density,22.2608162245331,2.3365909018182998
Spring density,7.72674858597216,1.5969917867502887
Hydraulic gradient,10.744255619441708,1.1917404173355353
Precipitation,13.856075437512452,2.96e-322
Gravity anomaly,2.8067795839969922,14.691822111229172
Magnetic intensity,12.948275799764547,7.1914091737219215
Seismicity,3.055071885070242,2.0464628643724367
Silica geothermometer,7.360520737029873,10.151769854123527
Heat flow,6.3132940493079985,6.962472956162227
Crustal thickness,15.236540969284519,2.37e-322
Depth to basement,0.2900528538828208,9.068085497511005
Fault intersection density,2.173613724967218,4.495221717074837
Quaternary fault density,3.9022263027571567e-292,9.758102685158404
State map fault density,12.005967529120417,2.7294828351299643
Volcanic dike density,7.442354816266273,0.6612659890500319
Volcanic vent density,1.9117169712828248,4.912916214508596
