Name,X,Y,S1,S2,Signal
Alamos spr,35.06007978,-107.132374,0.6475203426580993,0.26931937683908025,A
Sacred spr,34.90582063,-108.9664032,0.5978377423477241,0.03217911913198773,A
Rainbow spr,34.90653255,-108.9445631,0.6352339603530919,0.032552768727496795,A
Laguna Pbl,34.84456635,-107.0830558,0.6016753803056714,0.3774050440728586,A
Dent well,34.83805433,-108.8320045,0.6963596691104654,0.008485142867355647,A
Jerry well,34.48149077,-108.7067822,0.6223375148784817,0.12464753760001189,A
Pueblo well,34.53348434,-108.7744213,0.6354702135426847,0.03520483327832307,A
Ojitos spr,34.12501194,-106.9785008,0.7697901301647497,0.4145894006203876,A
Well 1,34.15003574,-108.3236553,0.7430760175908784,0.10197742761720618,A
Ojo Canas,34.03785708,-106.7815119,0.6814929555394293,0.3087794792540915,A
Socorro Can,34.05325124,-106.9551655,0.7612151409980096,0.42035099115065644,A
Aragon spr,33.89254513,-108.5081617,0.8493679233403117,0.09078242066724893,A
Freiborn spr,33.71474239,-109.0185221,0.7456132666199166,0.0,A
Ojo Caliente,33.57268338,-107.5905579,0.6702846468246156,0.19819367165897014,A
Victoria well,33.40490196,-106.8975047,0.23837461963960332,0.4629369517202359,B
Gila spr 1,33.23272251,-108.2455859,0.8458071294350684,0.04006906194909118,A
Gila spr 2,33.23328042,-108.2241539,0.8298377935656414,0.07336950932301699,A
Warm spr,33.28479029,-107.5605437,0.6769185637439358,0.34759569001102275,A
Turkey spr,33.10029397,-108.4763133,0.8841394795257381,0.17889719547180558,A
T or C spr,33.12838501,-107.255928,0.4272336852645665,0.6048604639809678,B
Riverside well,32.93459903,-108.5980719,0.7332538108114447,0.21401998869900896,A
Spring,32.95994845,-107.5725187,0.669870752140257,0.328836023801058,A
Cliff spr,32.9699912,-108.620893,0.6764416847732821,0.14169216129737724,A
B.Iorio well,33.05549771,-107.2968987,0.46893848960285717,0.48043263188138596,B
Derry spr,32.80351607,-107.2690376,0.4810372161620632,0.4005726118692761,B
Ash spr,32.81392736,-108.4010589,0.8391073184132242,0.06264480318372855,A
Goat spr,32.83089057,-109.0422131,0.4341685606016457,0.35492924860621555,B
Mangas spr,32.84699667,-108.5091049,0.7037147111989851,0.09547149006388624,A
Spring Can,32.88119541,-108.574546,0.7418281424929197,0.1234916239685845,A
Allen spr,32.88712043,-108.3611214,1.0,0.043156916314893226,A
Mimbres spr,32.75570562,-107.8440603,0.7852004898412457,0.19880333770691982,A
Garton well,32.77702868,-107.6953191,0.7886258340592134,0.1151205537541498,A
Kennecott well,32.55301934,-108.0292645,0.5101780004952577,0.3014749594785277,A
Faywood spr,32.55403823,-107.9867174,0.497895891633309,0.3917690945936231,B
Apache well,32.64048324,-108.1387645,0.5635135208289412,0.21140077836898022,A
Radium spr,32.50270608,-106.9208891,0.18823113526339344,0.6877417020258186,B
Well 4,32.24927086,-106.9792122,0.0,0.8402806158961782,B
Carne well,32.25659024,-107.5737009,0.08666619247761,0.5923512856282296,B
Los Alturas,32.27132749,-106.7036745,0.003150142920020376,0.6920251838509399,B
Well 2,32.2846619,-107.0224495,0.0,0.7838402745597634,B
Well 3,32.07547507,-107.6109744,0.15207863063665314,0.5611295476375228,B
Well 5,32.1426885,-106.8708971,0.0,0.7192459204720811,B
Lightning Dock,32.15224481,-108.8424302,0.15769843541811487,0.6773167266248341,B
Fed H1 well,31.8515527,-107.0340698,0.011008062312193484,1.0,B
