Name,S1,S2,S3,S4,S5,S6,S7,S8
Alamos spr,3.9303725265759316e-20,4.828784868777113e-114,0.04547827156922713,0.02055113424230441,0.07508167557551036,0.040105743244914234,0.029875142739163075,5.0e-324
Sacred spr,5.0e-324,5.045695083243108e-153,0.026637528342828943,5.0e-324,0.08989992045469722,1.3274932948158825e-164,0.007202802012986241,0.006756503786014126
Rainbow spr,5.0e-324,2.6554625592260793e-74,0.026694553081783184,9.96866945576286e-256,0.09052556493656279,4.63270405504091e-12,0.021161944273734568,0.004732323185558573
Laguna Pbl,0.020979570965289105,2.967204652963564e-177,0.0433169985298945,0.023905225989135484,0.07088726031058033,0.07305251766307104,0.0021660457895810318,1.5020638697093913e-25
Dent well,5.0e-324,0.006717918478678335,0.023701116513743736,5.0e-324,0.0905781265307534,1.0e-323,0.02658774095398883,0.0041508519508875715
Jerry well,0.006156032031244064,0.015238611697402968,0.018806508644329527,2.4971442855512523e-81,0.10059065762318012,7.862173333981657e-210,2.169082454736567e-67,0.0017228531694731173
Pueblo well,0.001745248784832794,0.016209046366754975,2.0434203399604606e-176,1.0e-323,0.10239804346804623,1.5e-323,0.01772017796375959,5.804857654236328e-140
Ojitos spr,0.09138485358665448,0.03181443650039548,0.02024422694879118,6.119095698307422e-63,0.006189750984312648,0.20807423097691574,0.004880670524798032,2.4422398051078487e-45
Well 1,0.003122851182358734,0.005479314568367869,0.02619746101018334,0.0015605461227866729,0.06938233957495189,4.444833733753752e-58,0.007489721102888287,0.04749201924658602
Ojo Canas,0.05414265690340238,0.036826533821978015,0.016550829303284532,1.6834800767650182e-127,0.002950170158080695,0.1830569700321217,1.0e-323,2.5492659794673425e-152
Socorro Can,0.11938279941937971,0.0236655038811562,0.007611473678792232,1.1192049180032016e-183,3.3535154299568137e-72,0.21930419881851182,0.026825569593633865,1.9135115544627963e-74
Aragon spr,0.003426825524701402,0.0,0.022647178096594087,1.6156610991708332e-44,0.0578131427668138,0.025162933173169578,1.8329697476889767e-116,0.08595284843781077
Freiborn spr,5.282002084601808e-17,5.0e-324,0.0,0.0031763626426261726,0.02927973424940165,2.9968094563353112e-40,0.10699654425261557,0.04959122633465883
Ojo Caliente,5.0e-324,0.004372342257891876,0.043473390153365085,0.016083713695162736,0.03932378251613539,0.008486126710601005,1.5198737207778774e-6,0.049884849741316566
Victoria well,1.0e-323,0.014995111877478392,0.04317997328304057,0.04428229519818175,0.012397730059795805,5.0e-324,0.00617848742774427,1.0e-323
Gila spr 1,7.118769162904731e-5,0.010844837854961955,0.019329155724303083,3.0587042543877464e-38,0.024686954010755238,0.011867360762068697,0.02535177651299056,0.08154134724181583
Gila spr 2,4.736409531796778e-19,0.012357333054841433,0.02421290900162466,4.2025448114551524e-11,0.029600560082212693,0.002654353782742737,0.006336058385018668,0.08620358523979961
Warm spr,0.03248679740779012,0.030121519147174536,0.03705690365532514,0.015421115774408233,0.024926665405656804,0.020230735426146482,0.023736222826917223,0.025264483763433203
Turkey spr,0.009675920494473812,0.02639559763929278,0.03431237014350505,0.010386575034618931,0.004344421362224491,1.941823869049022e-143,0.058620868989222565,0.06636499243865346
T or C spr,0.1080464445602447,0.059785242748844274,0.01889090873383515,0.0117561501773166,2.9599834331436437e-85,0.027319399317050772,5.0e-324,1.4793440393688912e-160
Riverside well,0.0036917219840665893,0.04304015866992033,0.03931871481620287,0.0023899974834370014,0.017066189085297525,2.5473633344125335e-46,1.5e-323,0.04735263058173998
Spring,0.028446592963731167,0.04262777246475315,0.014354981393353144,0.01933521316515651,8.367349724618072e-29,1.0e-323,0.03300870705611349,0.05002143167942416
