Name,S1,S2,S3,S4,S5,S6,S7,S8
Cliff spr,0.0042110383434062135,0.043751732931196934,0.01772943888439539,2.8631145509759922e-33,0.015067524684514036,5.5223989545880344e-30,0.0037359523212444285,0.046937874590118736
B.Iorio well,0.11094346387937766,0.05582421800336484,0.022093621716610584,1.0e-323,1.6872027125565723e-19,0.019222595338324933,5.0e-324,0.0024523409462946367
Derry spr,0.025462662531093017,0.048147929448982066,0.011981958639739079,0.02556064948956685,0.012081328269739832,0.024181209615212154,0.013367727999541919,0.006691164610476438
Ash spr,5.0e-324,0.07258429883714647,0.023337847535122132,5.0e-324,5.223244131203453e-248,1.719416070279697e-252,0.0777817226400515,0.0021248127985772883
Goat spr,7.991560186406703e-76,0.02311443995794094,0.017791111187473577,0.03876712073172224,0.00041956691815495074,0.02742575581504174,0.039028129931803254,0.015681699056937913
Mangas spr,1.0e-323,0.05131277514221657,0.028754405881558965,5.0e-324,3.0140556212923035e-195,5.334576155818359e-59,0.007418260552573505,0.04061034369573554
Spring Can,0.0007604500235903997,0.05792508911122613,0.009517193039579193,0.0012080686945799247,0.014381048422916666,0.012190046808626493,0.039124423552839904,0.022975882428194157
Allen spr,5.0e-324,0.0613640096619156,0.02961489185148888,2.387467278936947e-105,2.3012582466515952e-214,0.012807626364395143,0.13715839241490482,4.87608355332616e-125
Mimbres spr,1.4371574212912584e-132,0.018787066984633585,0.03748722621787927,0.02029993221139588,0.0046100561858414685,0.01228403457660244,0.07059294462614984,0.043715208925612405
Garton well,6.588267395670186e-33,0.02049410603370258,0.030978209560915418,0.007161405073630581,4.609044451528084e-129,1.2213526924897557e-185,0.049208485963248665,0.06724545264553076
Kennecott well,5.0e-324,0.039977204697573425,0.019723457541411114,0.0274607613701657,2.2608431498962288e-97,0.00581939513885403,0.022525971496857533,0.025040833763381926
Faywood spr,1.0e-323,0.032931406959478035,0.030695887785626222,0.03818352326577362,2.642924148196873e-58,0.009052396056925796,0.021493665993796724,0.024929771596270925
Apache well,5.0e-324,0.06900898876710292,0.0075281389518929605,0.012204370425176844,4.1022029926490155e-18,0.010553009645199318,0.03354885303788461,3.529735235794412e-37
Radium spr,0.03262161176173108,0.014157655951045844,0.02736798130443649,0.0636406580468475,0.0021194268139016433,0.019120805098087664,5.0e-324,0.011563125400728836
Well 4,0.09741726812426542,5.0e-324,1.6567257310670333e-225,0.0733901361991515,5.3083204543551425e-306,5.561283726262089e-255,0.007047847978406364,0.009744507517304714
Carne well,1.2803227669055734e-228,0.0007805865499399975,0.027115223607104593,0.06808654313559954,5.0e-324,2.094606e-318,3.885568793046306e-267,0.020019206040267714
Los Alturas,0.0,1.4719051007272915e-250,0.0,0.09495731838152782,1.6230404447528754e-96,0.02375195118030686,1.0e-323,0.016626392048097884
Well 2,0.08287181336482792,1.0545565890848197e-206,0.0006871905546435697,0.06958454595272777,0.004239120556588645,0.004276604450476847,0.012232854917631736,0.005677678081537364
Well 3,5.0e-324,0.0073720534806048935,0.024189092582259847,0.06861228819735032,5.0e-324,5.0e-324,0.04901168618854434,5.0e-324
Well 5,0.05160260657768529,5.0e-324,0.020521926792562557,0.06846386876667021,0.004750288900409321,0.0,5.0e-324,0.0
Lightning Dock,0.022902956307193034,3.032299704059834e-262,0.03745904395889227,0.06661471516517267,2.2694242964756577e-190,5.0e-324,5.0e-324,0.029233024295705002
Fed H1 well,0.0884466255870319,0.0019751564520368685,0.02341069978240066,0.08695576532578092,0.004408950092964163,1.0e-323,0.012583080105644318,0.0016987347620559048
