Name,S1,S2,S3
15-12,0.025549449025652628,0.030247684881461314,1.5146945208109283e-17
17-31,1.5743280340061474e-17,0.015069859756247174,0.03826728262261566
18-1,0.07476618376044826,1.1637196826542951e-17,1.5146945208109283e-17
18-31,0.02097600125272382,0.045424054799144145,0.005750217527378519
18A-1,0.06108333454625798,0.00698925557371555,1.5146945208109283e-17
18B-31,0.022040784824127746,0.030405317542381405,0.018859211911229933
18D-31,0.03040552013065218,0.031362274970700564,0.011695326943106783
22-13,0.0259127182184415,0.011446019912914147,0.010757912403222545
26-12,1.5743280340061474e-17,0.028051828536867315,0.02419539854172872
27-1,0.03147556067873796,0.023549842557617124,1.5146945208109283e-17
46-1,1.5743280340061474e-17,0.038611818228056226,0.018690117773301887
46A-1,1.5743280340061474e-17,0.03716020650964478,0.020738860566395616
47A-1,1.5743280340061474e-17,0.029966070028227088,0.025589007022493473
47C-1,1.5743280340061474e-17,0.04529346542121716,0.009032020997618049
48A-1,1.5743280340061474e-17,0.05166289290222595,0.0073796307822829475
55-1,0.02375798601093183,0.021228170941450863,0.028185279341436394
56-1,0.004802502882555033,0.02681910171592911,0.03511959506648167
56A-1,0.022850995646285305,0.041739224852324924,1.5146945208109283e-17
56B-1,1.5743280340061474e-17,0.03288733228968687,0.03035633928424291
57-1,1.5743280340061474e-17,0.031219249812845563,0.036675630291574314
64-1,0.02090368818025298,1.1637196826542951e-17,0.04467066959042727
68A-1,0.020329554425833087,0.009170739875939873,0.04159803431515442
68B-1,0.02551562332209365,0.017596324509155895,0.03441124923589245
77-1,0.043437300008828165,0.011645859714634913,0.02365108328404723
81-1,1.5743280340061474e-17,0.053557055957963125,0.009898739786123746
81-11,1.5743280340061474e-17,0.03543927759197024,0.009432467522408377
81A-1,1.5743280340061474e-17,0.05747173095036629,0.005110284695221252
81B-1,0.029188461772110208,0.04238759187388917,2.6197081548780946e-14
82A-11,0.05786113378597408,1.1637196826542951e-17,1.5146945208109283e-17
88-11,0.03307883854297378,0.020613321543628,1.5146945208109283e-17
B1,1.5743280340061474e-17,0.028734443987440968,0.02222835291121054
B2,1.5743280340061474e-17,0.004447873874283416,0.053369812643284886
B3,0.02252038217141271,1.1637196826542951e-17,0.039802942800865486
B4,0.03210307102973713,4.2388635080250393e-5,0.03796957530653183
B5,0.050250258952989055,1.1637196826542951e-17,0.02125507085782654
B5A,0.03589642451582271,9.636723052799656e-7,0.03409911135059615
B6,0.04187661490973345,1.1637196826542951e-17,0.027039466426091306
B7,0.05472000373436571,9.981599245433134e-14,0.024940829415698813
B8,1.5743280340061474e-17,0.017907247265270747,0.03939896432635233
BCH-1,0.015139770321281117,0.025528724606229403,0.01130317233085406
BCH-2,1.5743280340061474e-17,0.0291876750846684,0.023142589096952534
BCH-3,0.02431523928609459,0.03204190666057121,1.5146945208109283e-17
EE-1,1.5743280340061474e-17,0.018989380657329687,0.03730421489028378
MG-1(SP-1),0.0508617491987818,1.1637196826542951e-17,0.030141738883432568
MG-2(SP-2),0.022808140659346682,1.1637196826542951e-17,0.046591917600459075
MGI-1,0.022357550653933356,0.01610382216762799,0.032902595493574556
MGI-2,0.05321515755162138,1.388880179501457e-10,0.0284452861615749
