Name,X,Y,S1,S2,S3,Cluster
15-12,327137.93,4.40603467e6,0.7922918526815143,0.4584457426834751,0.6955934490254709,A
17-31,328813.04,4.40882204e6,0.3992694456845523,0.2673520692845932,0.27580420461992833,A
18-1,327026.54,4.40703217e6,0.6369435328735255,0.6232951375268984,0.6887604323870021,A
18-31,328801.97,4.40871725e6,0.28858990837590853,0.21237615861388384,0.12783188618447985,A
18A-1,327056.33,4.40703775e6,0.5260747293384154,0.655818341180931,0.6643617025568971,B
18B-31,328791.32,4.40871144e6,0.3874654381161629,0.22258244304235889,0.1706144679023729,A
18D-31,328751.91,4.40862911e6,0.33228569925968165,0.2012924498414575,0.20493194633179315,A
22-13,327161.72,4.4051245e6,0.3151306694628728,0.2346929020063013,1.0,C
26-12,327300.66,4.40579963e6,0.4573371616529652,0.3931519585323081,0.45824644590805247,A
27-1,327256.49,4.40720478e6,0.4234421983383864,0.7234621540553541,0.48416708186918933,B
27A-1,327256.49,4.40720478e6,0.4234421983383864,0.7234623691694112,0.4841671726850717,B
46-1,327805.01,4.40748476e6,0.491653865267569,0.6839946096864382,0.24375451882452384,B
46A-1,327774.78,4.40740108e6,0.4583332910643696,0.7071453410188153,0.23319290418491823,B
47A-1,327661.35,4.40729129e6,0.5258208675725263,0.9139414609906484,0.32990418448356595,B
47C-1,327746.25,4.4073085e6,0.4248680218501345,0.7979725017802232,0.26591584129732776,B
48A-1,327704.9,4.40718065e6,0.11489252582593466,0.5765976071169362,0.1505874060865912,B
55-1,328014.47,4.40772054e6,1.0,0.5667392516881518,0.3478695908543034,A
56-1,327963.43,4.40755491e6,0.9801254183584922,0.8019445346070825,0.49684979767974746,A
56A-1,327859.51,4.40755578e6,0.8010143304474954,0.716068325460364,0.2876272533776013,A
56B-1,327891.35,4.40745289e6,0.2654560256079103,0.5567976538275206,0.13484954626830933,B
57-1,327931.46,4.40741438e6,0.9657157526442551,0.9654103586132368,0.5256573111031388,A
64-1,328156.6,4.40795433e6,0.5504507200151919,0.8710175787567447,0.4368267884107438,B
68A-1,328229.72,4.40707921e6,0.6883521488622618,0.8653316511705346,0.7439869326573745,B
68B-1,328065.7,4.40706164e6,0.7621374735610065,0.8580417058664793,0.39844464309306843,B
77-1,328214.13,4.40718169e6,0.8935853716852685,0.8404416873811386,0.7090630204253999,A
81-1,328567.28,4.40851194e6,0.26318072359006905,0.19546602115364364,0.14316405182888337,A
81-11,326859.34,4.4069495e6,0.300616578050296,0.37937085565581447,0.28740134612718776,B
81A-1,328598.76,4.40855648e6,0.2335248371581778,0.19745930378940865,0.10858248999470331,A
81B-1,328528.63,4.40843124e6,0.34213033808530857,0.17462121774769543,0.1491793317056259,A
82A-11,326907.12,4.40670723e6,0.19499675011321496,0.4049679264287263,0.8341046979390813,C
82A-11-RD1,326907.12,4.40670723e6,0.19499675011321496,0.4049679264287263,0.8341046979390813,C
82A-11-RD2,326907.12,4.40670723e6,0.19499675011321496,0.4049679264287263,0.8341046979390813,C
82A-11-RD3,326907.12,4.40670723e6,0.19499675011321496,0.4049679264287263,0.8341046979390813,C
88-11,326889.0,4.40544507e6,0.5637259624600656,0.3343614555155632,0.9430702112110263,C
B1,327745.53,4.40596877e6,0.5036581154848438,0.4075918461121948,0.5604771393048862,A
B2,327721.65,4.40609786e6,2.328470199404371e-16,0.09753079042151976,0.06377715668243732,B
B3,327738.97,4.40619405e6,0.15034175893801563,0.22133275632807747,0.1626343175794337,B
B4,327778.14,4.40639034e6,0.3031996593326982,0.28615378093153515,0.11358188572680405,A
B5,327713.81,4.40629808e6,0.4623635908153545,0.6252747483976407,0.4054027949669225,B
B5A,327754.04,4.40637455e6,0.47732123443793534,0.39800895301580563,0.2256168745950348,A
B6,327848.36,4.40636567e6,0.29286461009362746,0.22328043321075391,0.16790644586205647,A
B7,327784.51,4.40629935e6,0.17686229702041925,0.09223605181748727,0.028086508369296045,A
B8,327603.56,4.40643766e6,0.42361795081665543,1.0,0.3634533835839463,B
BCH-1,328398.2,4.40887416e6,0.5817032108867011,0.46426777903901695,0.3144146199011309,A
BCH-2,327732.14,4.40800628e6,0.6762800011276557,0.7568708564178792,0.40869583476104876,B
BCH-3,327126.74,4.40600409e6,0.8490844026185244,0.4495610397961467,0.709497366928316,A
EE-1,327575.0,4.40640489e6,0.40928436137939633,0.9914295424190874,0.3646297290346493,B
MG-1(SP-1),328194.09,4.4071925e6,0.6873998847406769,0.8886711976770748,0.6774301144191341,B
MG-2(SP-2),328128.08,4.4076273e6,0.6267884268255163,0.7861542390258451,0.6203396339305324,B
MGI-1,327853.91,4.40678619e6,0.1937648425622111,0.2887571994187373,0.06535105444364243,B
MGI-2,327994.35,4.40709171e6,0.30883621626806856,0.1938801993848119,0.04057132104482616,A
