Name,S1,S2,S3,S4
15-12,219.5782938420938,1342.3190378531144,1119.9889051326961,1221.9950548915515
17-31,216.18035398328936,572.6511544226887,440.0022851730522,716.7709040480803
18-1,261.1610149614612,989.2016422525751,1099.1552745030394,1673.1003637439967
18-31,165.31491386241515,405.9724908070258,203.6595647839271,568.9072378763719
18A-1,190.90313721564388,838.817962863679,1060.099132445673,1759.7621582840763
18B-31,224.546290852865,542.4709450272002,271.08927842033967,597.8805055952438
18D-31,177.37642558448405,478.54803014475857,327.09401368147235,540.6630519765395
22-13,151.20454212135107,469.32667144675617,1588.7468899037917,629.9355507127661
26-12,180.83681461089242,716.5979940337135,733.1738226274828,1055.2402083705426
27-1,149.23723181229622,682.0581632663423,776.671500584024,1931.532632627108
27A-1,149.23723214159406,682.0581632663423,776.6716470070057,1931.533203054278
46-1,160.38455640956823,803.2413553650226,392.9817209532488,1832.4828214060744
46A-1,189.83006774540576,711.3026561516645,374.7821117953348,1891.692396589485
47A-1,208.0992122358697,825.2902294626642,530.7500892858827,2442.3616710247957
47C-1,126.35721173342935,705.6512956391919,429.1074591335307,2133.680061126774
48A-1,30.026075566296182,194.72560413618584,243.40327789565578,1536.0063263709637
55-1,465.6786602690756,1503.4720999840176,554.2016125726717,1531.7396032498734
56-1,299.84864724196075,1617.9980387277692,798.8508201150257,2161.719976723428
56A-1,388.6027088803452,1190.844775652778,459.2464684230655,1922.1037380054108
56B-1,87.44659195728946,432.1767697869978,217.7657951132215,1489.1922251141825
57-1,366.25099323733775,1530.030316392927,843.0901582807846,2591.557916812258
64-1,255.43748173679361,827.2272841168547,695.6669422665627,2332.4417734557387
68A-1,273.05483117667177,1075.9294962086326,1189.4518600154656,2319.140619429948
68B-1,265.55947165844697,1225.4231552828755,638.398141369267,2307.931616178808
77-1,470.6179953246144,1293.5531961925365,1132.1122939539507,2248.7062681824536
81-1,154.47774341778916,365.67787335561775,227.8834384457914,524.4194607115096
81-11,0.02038018331340986,576.5831846073706,455.18205594823576,1034.0294626787943
81A-1,140.7158873295366,321.020480541539,172.77600491865564,529.3056347876455
81B-1,164.19855044998707,510.53483333915847,238.05514373307687,471.0450305825607
82A-11,36.80626988703725,343.2532427939967,1334.822134975098,1075.4980928169907
82A-11-RD1,36.80626988703725,343.2532427939967,1334.822134975098,1075.4980928169907
82A-11-RD2,36.80626988703725,343.2532427939967,1334.822134975098,1075.4980928169907
82A-11-RD3,36.80626988703725,343.2532427939967,1334.822134975098,1075.4980928169907
88-11,215.73455560095593,894.0328629496407,1512.0969591807345,888.1927925652883
B1,250.11780759617116,743.3401095751151,891.3988191540045,1093.9097138490679
B2,0.001212693547951197,3.87560866201667e-13,102.20870792173594,258.79271707404587
B3,86.95445263053155,210.7637024026294,259.49583968179695,590.1077995049122
B4,142.65830466429514,454.3156340591983,181.70918221124356,768.2791599605356
B5,211.89353076861144,697.7440253585241,648.3913525411272,1672.5391944911376
B5A,247.49029435388977,694.5958965466818,360.0963496668102,1067.5651165501702
B6,178.8366910242529,401.6840557899958,267.54400618121144,596.911079364115
B7,109.64771277625927,241.23148232783112,44.1446694976991,247.83308807886363
B8,196.4383794755877,637.2084820755131,582.5487784418216,2669.077174154334
BCH-1,161.30855048049057,982.9176330101187,508.5267011764157,1242.4225157656028
BCH-2,245.35661274720962,1084.811977943703,657.0434357260973,2025.6369801608278
BCH-3,219.0897820318063,1453.8932930134486,1142.163948573198,1200.318260079805
EE-1,191.71070809924106,613.7962886568141,584.4941933811208,2645.7283627964807
MG-1(SP-1),321.1416764684744,1031.9450080965685,1083.0422002627427,2376.199507305129
MG-2(SP-2),230.3597132609825,994.4643714263597,990.2793629438208,2112.7169939319283
MGI-1,97.46548292058489,284.64571988723014,104.79166580273485,772.3700885165387
MGI-2,150.62933880540845,458.1524732498901,64.42231762384331,523.357943823001
