Name,X,Y,S1,S2,S3,S4,S5,Cluster
15-12,327137.93,4.40603467e6,0.8312708076428985,0.5127549569033019,0.8364061263331464,0.12926424326473437,0.5686228097776658,D
17-31,328813.04,4.40882204e6,0.31725221790603936,0.4695819657359067,0.28513434399771936,0.16971636590763078,0.2522461406088535,C
18-1,327026.54,4.40703217e6,0.7924576261822488,0.5857148854073186,0.5583012398564202,0.33217372337068246,0.6423889646711838,D
18-31,328801.97,4.40871725e6,0.2618742415389619,0.3625999821546492,0.19301070560312417,0.11166344326912937,0.11537119563339832,C
18A-1,327056.33,4.40703775e6,0.8137596873923413,0.43319368996907004,0.4920423183772965,0.35140093590644966,0.6186000991507028,D
18B-31,328791.32,4.40871144e6,0.2782817122009162,0.4919065240766561,0.25572674642774634,0.1225524873297937,0.15627861594783005,C
18D-31,328751.91,4.40862911e6,0.3284216025068502,0.4008162448594774,0.23493510254937247,0.061059670229443856,0.1766356442249207,C
22-13,327161.72,4.4051245e6,0.33913859388832374,0.32534721110112347,0.2514816617877821,0.15682128574275747,1.0,E
26-12,327300.66,4.40579963e6,0.41977830656006543,0.40082252015619435,0.4103981649191784,0.29191557059755135,0.41353144006322134,A
27-1,327256.49,4.40720478e6,0.999999122629283,0.34290857133138625,0.40178309051132394,0.2801281127599102,0.4229984353929282,D
27A-1,327256.49,4.40720478e6,1.0,0.3429085709753499,0.4017834344119753,0.28012725429016067,0.42299881528783545,D
46-1,327805.01,4.40748476e6,0.6645567493363655,0.3520495293646258,0.4873464476233402,0.4573778124264792,0.21847061429914477,B
46A-1,327774.78,4.40740108e6,0.6534933155367854,0.41303815425995916,0.40129887447094786,0.4973793618542362,0.20835522682984955,B
47A-1,327661.35,4.40729129e6,0.7904048135619486,0.45090557073355886,0.472901167368695,0.6878706913091818,0.29709678049073457,B
47C-1,327746.25,4.4073085e6,0.6983706021565134,0.2723710286784773,0.437859768535188,0.5879115660942191,0.23876739853842696,B
48A-1,327704.9,4.40718065e6,0.48584845073869287,0.0649567944726501,0.12390587410009332,0.42453836797535127,0.13428120863121276,B
55-1,328014.47,4.40772054e6,0.37151062492537634,0.9829689701492069,0.8182065137278584,0.5770646937283839,0.32488603432057717,A
56-1,327963.43,4.40755491e6,0.666871478763578,0.6435803991120725,1.0,0.6774795281010878,0.45655009695664456,A
56A-1,327859.51,4.40755578e6,0.6213178766815746,0.8425670459354843,0.6257811947128357,0.5658427846781827,0.2552681123956778,A
56B-1,327891.35,4.40745289e6,0.5194071125618331,0.18904052907714472,0.2623371171296,0.3747159375826841,0.12011874648705005,B
57-1,327931.46,4.40741438e6,0.8906011712769814,0.794324302859348,0.8918604573827041,0.7239757305889192,0.48002781986242354,A
64-1,328156.6,4.40795433e6,0.3179144298843852,0.5362287310040996,0.4554040534829149,1.0,0.44218383590915455,A
68A-1,328229.72,4.40707921e6,0.6644604340015583,0.57792567316545,0.6289218535970793,0.7724936330887392,0.7083450597175468,A
68B-1,328065.7,4.40706164e6,0.577792141930544,0.5636661734373252,0.741060565992791,0.7923129707107001,0.3780163500731525,A
77-1,328214.13,4.40718169e6,0.6749046935878933,1.0,0.6641666467874018,0.7463255516631433,0.6638099291000488,A
81-1,328567.28,4.40851194e6,0.2344926513374899,0.341795764008583,0.16848429130282358,0.1150591899458166,0.12623752197387456,C
81-11,326859.34,4.4069495e6,0.5909503496281374,5.346195524982176e-5,0.4286915790999618,0.10411632923715493,0.24765413979986683,D
81A-1,328598.76,4.40855648e6,0.2229149269028474,0.31140484714176253,0.14445522004879197,0.12035876028922289,0.0948084236573931,C
81B-1,328528.63,4.40843124e6,0.24370551011391375,0.36481136800304687,0.26912930904821014,0.08088447639768229,0.13265149854711814,C
82A-11,326907.12,4.40670723e6,0.743563113176023,0.08472939876087655,0.22933794204789934,0.10998940646735793,0.7292786607175089,E
82A-11-RD1,326907.12,4.40670723e6,0.7435902079087123,0.08472959942662692,0.2293497902390543,0.10995308035042689,0.7292869019945646,E
82A-11-RD2,326907.12,4.40670723e6,0.7435778462606535,0.08472847325911455,0.22934886534673843,0.10996590955512378,0.7292846154810964,E
82A-11-RD3,326907.12,4.40670723e6,0.7435890208057904,0.08472912601844677,0.2293467231801995,0.1099572420631629,0.7292856892960693,E
88-11,326889.0,4.40544507e6,0.5848764001904229,0.48478966246399324,0.514804686862783,0.17749090195558415,0.8265343101973782,E
B1,327745.53,4.40596877e6,0.2726381804743929,0.5258797748225688,0.39625431827608026,0.41316693889926953,0.56389901860346,A
B2,327721.65,4.40609786e6,0.07665239389660833,2.021319384770297e-16,1.991930955935192e-16,0.07897160028124,0.06131193675402502,B
B3,327738.97,4.40619405e6,0.1669320036386024,0.18569861832388593,0.10144068642150925,0.1948729474848158,0.15613818529750653,A
B4,327778.14,4.40639034e6,0.2138773581258122,0.30529427057823716,0.24610635455937258,0.24976944807950469,0.1042715740874153,A
B5,327713.81,4.40629808e6,0.49033891404498675,0.45054814303534746,0.38459031154336326,0.5338313210271575,0.3828634895237687,A
B5A,327754.04,4.40637455e6,0.3109883797107392,0.5292526494925022,0.35819809663380375,0.3484712647817653,0.2092753614666676,A
B6,327848.36,4.40636567e6,0.18745763689971345,0.38155524611366454,0.18495135919977593,0.19272128921300857,0.15640393784995024,A
B7,327784.51,4.40629935e6,0.06968797095348482,0.23394870207673707,0.10970182939660238,0.08392475366399692,0.02454829816507534,C
B8,327603.56,4.40643766e6,0.7174802145142299,0.41647829059235664,0.3497712318883243,0.8537724074490444,0.3439688459562421,B
BCH-1,328398.2,4.40887416e6,0.4504994842351682,0.3539656535915023,0.6169880618236396,0.3515662415689147,0.2722991099466966,A
BCH-2,327732.14,4.40800628e6,0.5958222086725333,0.5330858023384847,0.6408103836571941,0.6461308770699915,0.3716946905336085,A
BCH-3,327126.74,4.40600409e6,0.8236530787532703,0.5146411017804153,0.9177031016283671,0.12678621808306564,0.5809230799843632,D
EE-1,327575.0,4.40640489e6,0.7560753556358207,0.4084758839416055,0.33478156495664135,0.8116268190023618,0.342410643114504,B
MG-1(SP-1),328194.09,4.4071925e6,0.7003436971914376,0.6830596397895512,0.5637472607744659,0.7755903471097284,0.6338934402800855,A
