Name,S1,S2
15-12,0.020466275773807528,0.016549818918065368
17-31,1.180045305427449e-17,0.03352583577304542
18-1,0.04891381654818401,1.970831035531835e-12
18-31,0.0249172357474637,0.021149551491812222
18A-1,0.041152518679077744,0.003339991591759681
18B-31,0.02534865126055055,0.02170542285972797
18D-31,0.028814384318305148,0.019154698153355326
22-13,0.01792956688297279,0.009520803852335962
26-12,3.521455768163304e-14,0.027984741666621318
27-1,0.017321379500421716,0.01616321110325859
27A-1,0.017321380431277438,0.016163217823358375
46-1,0.010314190031183822,0.028290758496109427
46A-1,6.162185845115451e-6,0.034417646721211906
47A-1,1.197585542468686e-11,0.032324782189570106
47C-1,8.646479606470424e-14,0.03320308379614196
48A-1,1.180045305427449e-17,0.03235070162803876
55-1,0.02185856977721685,0.02518621737172298
56-1,0.012502132181683097,0.030641002431531082
56A-1,0.018612696246512673,0.025940807010662727
56B-1,1.180045305427449e-17,0.03818078351787153
57-1,0.009939762909295205,0.03424733683643148
64-1,0.0262177557908388,0.013569259039204555
68A-1,0.017111492417357446,0.022734952127936935
68B-1,0.024073199455928965,0.023753950084942528
77-1,0.03875893373999804,0.012903392531864486
81-1,0.01318196081858397,0.02559770025723863
81-11,1.180045305427449e-17,0.02371662395063172
81A-1,0.012835363883509915,0.02483406898467993
81B-1,0.031542125986708004,0.015354921291272661
82A-11,0.035127878286326894,8.857801525032013e-18
82A-11-RD1,0.035127878286326894,8.857801525032013e-18
82A-11-RD2,0.035127878286326894,8.857801525032013e-18
82A-11-RD3,0.035127878286326894,8.857801525032013e-18
88-11,0.023509904020727068,0.01083611666406572
B1,1.180045305427449e-17,0.02748598787357383
B2,5.6769125938108e-7,0.0320779479994527
B3,0.016772304997717136,0.020050660771667263
B4,0.023518448756169343,0.021226673303952136
B5,0.05133219444714406,3.4924867337513072e-15
B5A,0.022940726133242568,0.022556250470755986
B6,0.03139573720930573,0.012313491607331908
B7,0.053514390071369745,0.0035309027377849324
B8,1.5269420179063242e-9,0.02777477868692135
BCH-1,0.017380625264213724,0.017339952477887787
BCH-2,1.180045305427449e-17,0.028691380491228102
BCH-3,0.01859925594752376,0.01844647904616579
EE-1,8.728136896596688e-10,0.027365498240167676
MG-1(SP-1),0.0318928134600549,0.015003925679613988
MG-2(SP-2),0.022065062862204516,0.018590242606751947
MGI-1,0.020333676314472235,0.023991942548033062
MGI-2,0.04709322270071265,0.010212487292267862
