Name,S1,S2,S3,S4,Cluster
Normal stress,0.3071412736926379,0.7854158434777894,0.7696834821438074,0.9294528181136359,C
Coulomb shear stress,0.34215659032336165,0.7092804276313065,0.8373001526683309,0.8838612196760617,C
Dilation,0.6122651332065978,0.791226376076816,0.8075822428879428,0.6071362519378498,B
Faulting,0.8867264863760631,0.7636762728519682,1.0,0.548001833798122,B
Fault dilation tendency,0.5075573599640512,0.5530433213570214,0.3473439216072236,0.7197271274713293,A
Fault slip tendency,0.3634023219011802,0.40131967619631737,0.23877354503205828,0.4900719532324402,A
Fault curvature,0.4531646253928024,0.49719958500621764,0.30260586730513117,0.6476202904707822,A
Temperature,0.1122165087009481,0.12871850041270344,0.08835016382835999,0.1507870910774348,A
Fault density,1.0,1.0,0.6488113898718784,0.6288801019256991,B
Fault intersection density,0.5745434297084494,0.9286096652656175,0.2614956243572301,1.0,A
Inverse distance from faults,0.0006444456359358042,0.0008940262529627937,0.001292102359734068,0.0008808312300927293,D
