Name,S1,S2,S3,Cluster
Normal stress,0.919418552924707,0.4082420692583951,0.6913430070584061,C
Coulomb shear stress,0.8995948823450712,0.36886427784985487,0.7565969128131247,C
Dilation,0.7071630511931339,0.6709140904102492,0.7560589266911995,B
Faulting,0.7159308057787429,0.7609721013357272,1.0,B
Fault dilation tendency,0.7170206854380503,0.4755196256382046,0.3767271448470769,A
Fault slip tendency,0.49307433811021073,0.3573531266279531,0.25495510389367426,A
Fault curvature,0.6442300711925427,0.42894330489019555,0.3258008934748286,A
Temperature,0.1508270672933745,0.11234546540100065,0.09001888181548622,A
Fault density,0.8444984846516638,1.0,0.6763875499624594,B
Fault intersection density,1.0,0.7344097026328509,0.25322166340355373,A
Inverse distance from faults,0.0007595181910664388,0.0008180248084785572,0.0011030594728873469,B
