Name,X,Y,S1,S2,S3,Cluster
15-12,327137.93,4.40603467e6,0.4777450509312892,2.728199116183796e-16,0.48413395958804645,C
17-31,328813.04,4.40882204e6,0.26893541356643386,0.659090561948812,3.614703159582761e-16,A
18-1,327026.54,4.40703217e6,0.12904580288665823,0.22171030691586543,0.8181173210896339,B
18-31,328801.97,4.40871725e6,0.40380917569614144,0.17262577470525248,0.717991092584954,B
18A-1,327056.33,4.40703775e6,0.013444667692299742,0.3295553111815673,0.8446927421338086,B
18B-31,328791.32,4.40871144e6,0.07815433467468527,0.48309216354406787,0.7357533824156105,B
18D-31,328751.91,4.40862911e6,0.17740384236454584,0.47061225228079745,0.6758755479691323,B
22-13,327161.72,4.4051245e6,0.15301164160171893,0.04086062815041934,0.6376305642040903,B
26-12,327300.66,4.40579963e6,0.4120804948570772,0.4332969117573094,3.614703159582761e-16,C
27-1,327256.49,4.40720478e6,0.36536563422424645,2.728199116183796e-16,0.598310460250652,B
27A-1,327256.49,4.40720478e6,0.3653658376248393,2.728199116183796e-16,0.5983104280328464,B
46-1,327805.01,4.40748476e6,0.4786964665716444,0.3901244724962686,0.25521128372195095,C
46A-1,327774.78,4.40740108e6,0.5653978361660028,0.46500122152744483,2.698099948235882e-7,C
47A-1,327661.35,4.40729129e6,0.48145233046112423,0.4891759404245177,2.1385958072338065e-9,C
47C-1,327746.25,4.4073085e6,0.8967922407754575,8.913703350579648e-16,4.1559648944609146e-9,C
48A-1,327704.9,4.40718065e6,1.0,2.728199116183796e-16,3.614703159582761e-16,C
55-1,328014.47,4.40772054e6,0.3284902533225392,0.5649729280032826,0.4482334371146871,A
56-1,327963.43,4.40755491e6,0.34069675901122604,0.6813111421231824,0.2787017194208428,A
56A-1,327859.51,4.40755578e6,0.7126752868501404,2.728199116183796e-16,0.4937180764522561,C
56B-1,327891.35,4.40745289e6,0.8539341545045145,0.30604196763988273,3.614703159582761e-16,C
57-1,327931.46,4.40741438e6,0.40755074569712557,0.6986857953564534,0.23460369808570145,A
64-1,328156.6,4.40795433e6,2.253066354564105e-16,0.6487450174830638,0.5157899294551082,A
68A-1,328229.72,4.40707921e6,0.2547648784147131,0.8034281006466076,3.614703159582761e-16,A
68B-1,328065.7,4.40706164e6,0.3440276091355219,0.6515200807164847,0.28626536323291313,A
77-1,328214.13,4.40718169e6,0.1463386182396027,0.6424263721421498,0.5563910210667615,A
81-1,328567.28,4.40851194e6,0.21798250089478705,0.46900436499500364,0.3834516354370401,A
81-11,326859.34,4.4069495e6,0.6650355951992314,2.728199116183796e-16,3.614703159582761e-16,C
81A-1,328598.76,4.40855648e6,0.2624057734689678,0.4118426964249072,0.3711259269282489,A
81B-1,328528.63,4.40843124e6,0.05333639369639701,0.4945144898971519,0.7405889375724826,B
82A-11,326907.12,4.40670723e6,2.253066354564105e-16,2.728199116183796e-16,1.0,B
82A-11-RD1,326907.12,4.40670723e6,2.253066354564105e-16,2.728199116183796e-16,1.0,B
82A-11-RD2,326907.12,4.40670723e6,2.253066354564105e-16,2.728199116183796e-16,1.0,B
82A-11-RD3,326907.12,4.40670723e6,2.253066354564105e-16,2.728199116183796e-16,1.0,B
88-11,326889.0,4.40544507e6,0.286888705525725,2.728199116183796e-16,0.6563521454593045,B
B1,327745.53,4.40596877e6,0.7481256719531358,6.612772437410483e-8,3.614703159582761e-16,C
B2,327721.65,4.40609786e6,0.8843999874444861,2.629375915254562e-5,0.006053941826042908,C
B3,327738.97,4.40619405e6,0.12371816502260298,0.8988004424892002,2.585208716352186e-15,A
B4,327778.14,4.40639034e6,0.021232689716360727,0.9396135398318975,0.20028430225799418,A
B5,327713.81,4.40629808e6,2.253066354564105e-16,0.5206954255366221,0.6849176054251511,B
B5A,327754.04,4.40637455e6,0.09989944975556019,0.7661743733557296,0.26322000517890337,A
B6,327848.36,4.40636567e6,0.03514611480985728,0.7006893043526413,0.4523720238824114,A
B7,327784.51,4.40629935e6,0.0016338721388733516,1.0,0.44897660599523037,A
B8,327603.56,4.40643766e6,0.32176026343672565,0.5514286250462038,9.720007513557522e-6,A
BCH-1,328398.2,4.40887416e6,0.3308171332449614,0.2249056630921605,0.4166332378477611,B
BCH-2,327732.14,4.40800628e6,0.5591736756204342,0.2545725103856734,3.614703159582761e-16,C
BCH-3,327126.74,4.40600409e6,0.518562345568605,2.728199116183796e-16,0.44742266048178747,C
EE-1,327575.0,4.40640489e6,0.36184626713758794,0.481012461855135,3.365861793290704e-5,A
MG-1(SP-1),328194.09,4.4071925e6,0.19104112202065307,0.5691629363974829,0.4850716259621966,A
MG-2(SP-2),328128.08,4.4076273e6,2.253066354564105e-16,0.7735691681347585,0.477304361751285,A
MGI-1,327853.91,4.40678619e6,0.13775766994918728,0.8017488571294454,0.28443062069098274,A
MGI-2,327994.35,4.40709171e6,0.0008740537954823021,0.9640217174860366,0.6599322033623193,A
