Name,S1,S2,Signal
Normal stress,0.7819341054923987,0.28547702969248395,A
Coulomb shear stress,0.7777526376225865,0.29346523416524667,A
Dilation,0.8820817468700803,0.28259404888551315,A
Faulting,1.0,0.33414782993199865,A
Fault dilation tendency,3.1586601946650685e-16,1.0,B
Fault slip tendency,3.1586601946650685e-16,0.7061461395777461,B
Fault curvature,3.1586601946650685e-16,0.8906899843519827,B
Temperature,3.1586601946650685e-16,0.23930605182825956,B
Fault density,0.9882678000794131,0.39740912210856916,A
Fault intersection density,0.7836913571425224,0.3592161870835198,A
Inverse distance from faults,0.9165258390786429,0.6194076915170804,A
