Name,S1,S2,S3,Signal
Normal stress,0.029560688776205688,0.9734918791168167,0.1869358405474002,C
Coulomb shear stress,0.00012746427775294454,1.0,0.2009092812513147,C
Dilation,0.32736615525958584,0.8051200826890261,0.09163017095582168,A
Faulting,0.5814874554255084,0.7058321376056369,0.05786270520880835,A
Fault dilation tendency,2.6684921296029337e-16,3.7600812728222e-16,1.0,B
Fault slip tendency,2.6684921296029337e-16,3.7600812728222e-16,0.7061461395777456,B
Fault curvature,2.6684921296029337e-16,3.7600812728222e-16,0.890689984351982,B
Temperature,2.6684921296029337e-16,3.7600812728222e-16,0.23930605182825931,B
Fault density,1.0,0.2730362755564219,0.009489070368088406,A
Fault intersection density,0.5354141631357271,0.4746330641119479,0.12015313896894146,A
Inverse distance from faults,0.3879095676526776,0.790724980803855,0.4062877887174162,A
