Name,A,B,C,Signal
Faulting,0.8755861114927895,0.47350709634514615,1.0,A
Fault curvature,0.3547664215142072,0.7386727431307828,0.43666769046140447,A
Fault dilation tendency,0.38723305531287955,0.8337718751704775,0.4989767899737779,B
Fault slip tendency,0.2848236975893761,0.5692435942395411,0.3499020862152577,B
Inverse distance from faults,0.8206332433671516,1.0,0.9753213192908942,A
Fault density,0.9940589911155484,0.6009351109454055,0.9083417859202,A
Fault intersection density,0.7878630054626601,0.7070279249277798,0.5300509113106112,A
Dilation,0.7596162398254247,0.48167804383189056,0.8019522984415522,A
Normal stress,0.5563504930731384,0.8245308358667022,0.6479485122088934,B
Coulomb shear stress,0.5162276388881272,0.8434360502719648,0.689551699038727,B
Inverse distance from contacts,0.41365531608627354,0.025367942980944705,0.5966238103261661,B
Unit thickness,1.0,0.9588707938613221,0.9611341469825878,A
Good lithology,0.2905653965540866,0.47800515811933325,0.8913838750486723,B
Modeled temperature,0.09256455065407194,0.17626305314577856,0.11351943049547565,C
