Name,X,Y,S1,S2,Signal
15-12,327137.93,4.40603467e6,2.0762168822523291e-16,0.7297318112071368,A
17-31,328813.04,4.40882204e6,0.6101256257205794,0.1583638208221242,B
18-1,327026.54,4.40703217e6,0.35970014117254845,0.4338330945517257,A
18-31,328801.97,4.40871725e6,0.0032561974571072285,1.0,A
18A-1,327056.33,4.40703775e6,0.330246282360786,0.43535832305398375,A
18B-31,328791.32,4.40871144e6,0.2426023827056097,0.7505545898810224,A
18D-31,328751.91,4.40862911e6,0.30551227085657384,0.7072389768096854,A
22-13,327161.72,4.4051245e6,0.21540224807611796,0.3899738126339129,A
26-12,327300.66,4.40579963e6,0.3378037535318165,0.45508573058509144,A
27-1,327256.49,4.40720478e6,8.674686853311832e-5,0.68126380263589,A
46-1,327805.01,4.40748476e6,0.21710821040160388,0.6624378007827231,A
46A-1,327774.78,4.40740108e6,0.23100094218884915,0.6534666832794079,A
47A-1,327661.35,4.40729129e6,0.30690864693260783,0.5388084557287547,A
47C-1,327746.25,4.4073085e6,2.8472676694777725e-6,0.8380613271737,A
48A-1,327704.9,4.40718065e6,2.202208224465334e-5,0.8639741619265899,A
55-1,328014.47,4.40772054e6,0.5143233606241584,0.4923932683074598,B
56-1,327963.43,4.40755491e6,0.48486265112346927,0.5063347882137138,A
56A-1,327859.51,4.40755578e6,2.627090291952954e-8,0.8907644126623219,A
56B-1,327891.35,4.40745289e6,0.4027384221692738,0.5221114745936302,A
57-1,327931.46,4.40741438e6,0.47036721266484044,0.560204513217271,A
64-1,328156.6,4.40795433e6,0.9160327829144004,1.0971368784771454e-13,B
68A-1,328229.72,4.40707921e6,0.8061518359984973,0.1926618792685046,B
68B-1,328065.7,4.40706164e6,0.7154844119242295,0.35925990539591546,B
77-1,328214.13,4.40718169e6,0.658704020105563,0.3578326257926292,B
81-1,328567.28,4.40851194e6,0.14986892577430327,0.7041373429295708,A
81-11,326859.34,4.4069495e6,0.018804925351094178,0.6609435846819897,A
81A-1,328598.76,4.40855648e6,0.03205984536312876,0.8094977661341909,A
81B-1,328528.63,4.40843124e6,0.19373077010238118,0.7895063163144596,A
82A-11,326907.12,4.40670723e6,0.12387105050449958,0.46320249758011833,A
88-11,326889.0,4.40544507e6,7.685660877562992e-10,0.6503952990966576,A
B1,327745.53,4.40596877e6,0.17078712508693306,0.5990272030151675,A
B2,327721.65,4.40609786e6,0.18078702491634846,0.7170037261026931,A
B3,327738.97,4.40619405e6,0.8424645396823272,0.0003139290155562281,B
B4,327778.14,4.40639034e6,0.9122170695631678,0.03363395204653087,B
B5,327713.81,4.40629808e6,0.8819266060311756,0.0003078502057616624,B
B5A,327754.04,4.40637455e6,0.7796756047519967,0.1416030831567152,B
B6,327848.36,4.40636567e6,0.8822282118175568,0.06033599930543427,B
B7,327784.51,4.40629935e6,1.0,0.04879342685595242,B
B8,327603.56,4.40643766e6,0.5161967457754892,0.3447350552964276,B
BCH-1,328398.2,4.40887416e6,0.18043391136408307,0.5461242164466057,A
BCH-2,327732.14,4.40800628e6,0.302638622217413,0.49926982936725994,A
BCH-3,327126.74,4.40600409e6,2.0762168822523291e-16,0.7461483932624711,A
EE-1,327575.0,4.40640489e6,0.47399014584004834,0.37087053916125584,B
MG-1(SP-1),328194.09,4.4071925e6,0.8510337941027216,0.16700129890136264,B
MG-2(SP-2),328128.08,4.4076273e6,0.9673389393442781,8.075406863362928e-9,B
MGI-1,327853.91,4.40678619e6,0.775800626895586,0.18340540408173744,B
MGI-2,327994.35,4.40709171e6,0.9840558504033782,0.17940292930818957,B
