Name,X,Y,S1,S2,S3,S4,S5,S6,Signal
15-12,327137.93,4.40603467e6,4.207881929954422e-16,0.5740572700330951,3.174498892417101e-16,3.0526520435966253e-16,2.403076669488822e-16,0.9098074171622826,E
17-31,328813.04,4.40882204e6,0.5558068831313109,2.849976854284943e-16,0.004434933934884985,3.0526520435966253e-16,0.4715798787453082,0.40200914513301805,C
18-1,327026.54,4.40703217e6,4.207881929954422e-16,0.7294213752575833,0.24244335869247885,0.3906443384180762,2.403076669488822e-16,4.1778555460211896e-16,B
18-31,328801.97,4.40871725e6,0.7144691034597258,0.4181982942484805,0.31122683109970894,3.0526520435966253e-16,0.06906782687860574,0.018533313400720265,B
18A-1,327056.33,4.40703775e6,4.207881929954422e-16,0.6519525286767345,0.3549138388742634,0.28939561407681463,2.403076669488822e-16,4.1778555460211896e-16,B
18B-31,328791.32,4.40871144e6,0.687586503727195,0.45819818482122915,0.28370601407220714,3.0526520435966253e-16,0.05827473247451009,0.0103189084507465,B
18D-31,328751.91,4.40862911e6,0.5081113401066608,0.4299751557490874,0.4459375393871556,0.1632239994229334,1.8231865507717455e-13,3.637536757627358e-5,B
22-13,327161.72,4.4051245e6,0.491371976424999,0.30316398231530894,0.35215995091537744,3.0526520435966253e-16,2.403076669488822e-16,4.1778555460211896e-16,B
26-12,327300.66,4.40579963e6,0.4660749802174315,2.849976854284943e-16,0.19700301408214324,3.0526520435966253e-16,0.19239539432209446,0.6641338821685884,E
27-1,327256.49,4.40720478e6,4.207881929954422e-16,0.6093500320310044,3.174498892417101e-16,3.0526520435966253e-16,0.2405737523643891,0.39571372845684305,B
46-1,327805.01,4.40748476e6,0.5214475410269419,2.849976854284943e-16,0.9441990008324338,3.0526520435966253e-16,2.403076669488822e-16,0.16523637518414463,F
46A-1,327774.78,4.40740108e6,0.4344435382388469,2.849976854284943e-16,0.9751809471478913,3.0526520435966253e-16,2.403076669488822e-16,0.22253084389869704,F
47A-1,327661.35,4.40729129e6,0.08852915706261542,2.849976854284943e-16,0.8042073070551529,3.0526520435966253e-16,0.33958700762011945,0.026090557210060546,F
47C-1,327746.25,4.4073085e6,4.207881929954422e-16,2.849976854284943e-16,1.0,3.0526520435966253e-16,2.403076669488822e-16,0.49352464352071534,F
48A-1,327704.9,4.40718065e6,4.207881929954422e-16,2.849976854284943e-16,0.8733272069093737,3.0526520435966253e-16,0.16911469216704383,0.5970115524817583,F
55-1,328014.47,4.40772054e6,0.502950950824083,0.2560720784008812,0.33993362472398775,0.1506823944824009,0.30794607529876666,0.15648853795342108,C
56-1,327963.43,4.40755491e6,0.6541879601198001,0.013008481266886994,0.41940833664774413,3.0526520435966253e-16,0.41969172290398327,0.1763396507951694,C
56A-1,327859.51,4.40755578e6,4.207881929954422e-16,0.3747046784164518,0.7095247151335087,3.0526520435966253e-16,2.403076669488822e-16,0.5471346128071115,F
56B-1,327891.35,4.40745289e6,4.207881929954422e-16,2.849976854284943e-16,0.6507825042208238,3.0526520435966253e-16,0.6282299771381376,0.06904872130567721,D
57-1,327931.46,4.40741438e6,0.6374023649074549,2.849976854284943e-16,0.47014958205741664,3.0526520435966253e-16,0.3942965015629163,0.26561748130428375,C
64-1,328156.6,4.40795433e6,0.7581337571016886,0.2521138689635839,3.174498892417101e-16,3.0526520435966253e-16,0.4594658244362892,4.1778555460211896e-16,C
68A-1,328229.72,4.40707921e6,0.37254673860157866,2.849976854284943e-16,3.174498892417101e-16,0.6319441799402548,0.43636312334195304,0.22094434286906584,A
68B-1,328065.7,4.40706164e6,0.7603605880847293,2.849976854284943e-16,3.174498892417101e-16,0.830308866130204,2.403076669488822e-16,0.5730528303210979,A
77-1,328214.13,4.40718169e6,0.36614372733366296,0.25927939338125106,0.4727234501980316,0.6709087188911679,2.403076669488822e-16,4.1778555460211896e-16,A
81-1,328567.28,4.40851194e6,0.877254937110574,4.349871126734696e-9,0.14630078752492442,3.0526520435966253e-16,3.7614764908906956e-12,0.8645835901367404,E
81-11,326859.34,4.4069495e6,4.207881929954422e-16,2.849976854284943e-16,0.3022059572003906,3.0526520435966253e-16,0.33848019477420244,0.5481853753539625,D
