Name,S1,S2
15-12,0.033237512085007075,9.648348168610254e-18
17-31,0.007285137743037348,0.032111768128745194
18-1,0.016982714000950493,0.02222811944218363
18-31,0.04692699617804855,1.5003062515289396e-5
18A-1,0.016687071243155275,0.02134386613543863
18B-31,0.045431738187374414,0.0018015340614410235
18D-31,0.03302932470964828,0.015290354324504105
22-13,0.013191386746885976,0.017643814259167764
26-12,0.022123658509076063,0.015972730715837526
27-1,0.02992287078530776,0.0017006646195444155
46-1,0.03461428578697062,0.005585324355913507
46A-1,0.03443135861925434,0.005804961778636697
47A-1,0.02400083907120866,0.01641369112804833
47C-1,0.03788418471280356,2.1806477851298493e-8
48A-1,0.03921366897841756,1.3404087237306186e-7
55-1,0.022445963890672268,0.026294352906017265
56-1,0.023210269158706442,0.024503351106070194
56A-1,0.04058503670715429,3.399953067297952e-10
56B-1,0.022141663146027706,0.02191336667169253
57-1,0.025532717945557996,0.02383292577964817
64-1,8.487571534375616e-18,0.04730261239704635
68A-1,0.008121089849367713,0.04240600868734078
68B-1,0.01616274022571855,0.03664619280553522
77-1,0.01505227387775332,0.035084058137591016
81-1,0.04052410167324197,2.5419346665737252e-5
81-11,0.03033929134261692,0.0011086164441069842
81A-1,0.039467708248973006,2.7594406263267565e-6
81B-1,0.03705079917263277,0.009883085700949656
82A-11,0.009113747717428376,0.021176536058318342
88-11,0.02999760831182231,3.088025893770022e-9
B1,0.026684431176414183,0.009787254333301928
B2,0.03768363593340799,0.006331977936147017
B3,4.812477956218507e-7,0.04278716363555736
B4,0.0003409626205434905,0.04758302195180843
B5,1.432475910299741e-7,0.045909215984181136
B5A,0.0035480794140935854,0.04310214376835042
B6,0.0004128939882257204,0.04709816223858489
B7,0.001072338945879885,0.05145127876749495
B8,0.014401553575625791,0.028080332976082735
BCH-1,0.028001068819882492,0.005419729414968032
BCH-2,0.022950120661322685,0.015371692380091544
BCH-3,0.03400599786428308,9.648348168610254e-18
EE-1,0.015632576485624782,0.026246380142298548
MG-1(SP-1),0.008341779900330424,0.042171221898009884
MG-2(SP-2),2.197721037025141e-15,0.049598989115901125
MGI-1,0.007602417593065606,0.03998100025048571
MGI-2,0.004613759901092072,0.052989158437780376
