Name,X,Y,S1,S2,S3,S4,S5,Signal
15-12,327137.93,4.40603467e6,3.358329551073816e-16,8.874891988751235e-15,0.537218613080244,2.444496561405791e-16,0.9137191776998399,C
17-31,328813.04,4.40882204e6,0.6140246362318542,3.135861509952432e-16,2.5910195889823653e-16,0.3246855809495541,0.2247074683367416,D
18-1,327026.54,4.40703217e6,3.358329551073816e-16,0.40648392885917567,1.0,1.0309451754696754e-13,9.687124437589821e-15,C
18-31,328801.97,4.40871725e6,0.7161730006964372,3.0814146888549798e-12,0.38890320909721077,0.14962291263323102,0.04082417255604925,E
18A-1,327056.33,4.40703775e6,3.358329551073816e-16,0.35743078533202055,0.7038657680663035,0.19955814116717674,3.687067800461232e-16,C
18B-31,328791.32,4.40871144e6,0.6987803760153712,6.401156448647192e-11,0.41902536698629894,0.13570538232330057,0.01221303862483517,E
18D-31,328751.91,4.40862911e6,0.5734968833788201,0.1756052036194158,0.44668055240470156,0.13397421286783223,0.010600847313239741,E
22-13,327161.72,4.4051245e6,0.5264766200938398,2.331923658643615e-12,0.20304450587480727,0.09643687441034013,0.1660195633689914,E
26-12,327300.66,4.40579963e6,0.5023326192662814,0.00595371219597966,2.5910195889823653e-16,0.029386323378805094,0.8682557074409243,D
27-1,327256.49,4.40720478e6,3.358329551073816e-16,1.0379323622838983e-6,0.47175729423796525,0.27401819666233235,0.41667381399273684,C
46-1,327805.01,4.40748476e6,0.5472455015143822,3.135861509952432e-16,3.6079416398593397e-6,0.2972771958271192,0.5441321580743937,D
46A-1,327774.78,4.40740108e6,0.4975133008625911,3.135861509952432e-16,2.5910195889823653e-16,0.30250326261626176,0.5987081887388337,D
47A-1,327661.35,4.40729129e6,0.20877597119325753,3.135861509952432e-16,1.2780027165274881e-15,0.7048954484370192,0.19049435566620881,B
47C-1,327746.25,4.4073085e6,0.014696498680934977,3.135861509952432e-16,3.832518103588731e-12,0.5958362614027177,0.6963891236312509,B
48A-1,327704.9,4.40718065e6,3.358329551073816e-16,3.135861509952432e-16,2.5910195889823653e-16,0.7800825391506643,0.4567934225525687,B
55-1,328014.47,4.40772054e6,0.4348098673706806,0.16813158174845566,0.27975717929995464,0.5238352356768196,6.658698447786975e-10,E
56-1,327963.43,4.40755491e6,0.5798913119017056,3.135861509952432e-16,0.09856670512065661,0.6258695894482134,3.534779022320291e-5,B
