15-12,327137.93,4.40603467e6,0.23180347172049678,0.4819649390252587,B
17-31,328813.04,4.40882204e6,2.481545921234358e-16,0.7801583025710888,B
18-1,327026.54,4.40703217e6,0.7896185820171798,0.2216052784850936,A
18-31,328801.97,4.40871725e6,2.481545921234358e-16,1.0,B
18A-1,327056.33,4.40703775e6,0.8196729937047417,0.14631103831161285,A
18B-31,328791.32,4.40871144e6,2.481545921234358e-16,0.989526701188384,B
18D-31,328751.91,4.40862911e6,0.13696322620435628,0.7047526116512152,B
22-13,327161.72,4.4051245e6,0.035848884544027265,0.2982892364922278,B
26-12,327300.66,4.40579963e6,0.10577577621385902,0.671838301453162,B
27-1,327256.49,4.40720478e6,0.8215721646414752,2.7654347595691783e-16,A
27A-1,327256.49,4.40720478e6,0.8215721646414752,2.7654347595691783e-16,A
46-1,327805.01,4.40748476e6,0.5686854138743407,0.6686483465566632,A
46A-1,327774.78,4.40740108e6,0.5714720485797498,0.7009557155844792,A
47A-1,327661.35,4.40729129e6,0.6606587962167115,0.5696829596663133,A
47C-1,327746.25,4.4073085e6,0.6311066378791355,0.5990498417019634,A
48A-1,327704.9,4.40718065e6,0.7389630699298892,0.36258873359041366,A
55-1,328014.47,4.40772054e6,0.408060874987097,0.9148707359205182,B
56-1,327963.43,4.40755491e6,0.42028825852653295,0.8847674159273384,B
56A-1,327859.51,4.40755578e6,0.6017870965823227,0.6975614210058064,A
56B-1,327891.35,4.40745289e6,0.557039388484322,0.6430515717529653,A
57-1,327931.46,4.40741438e6,0.5021112444959687,0.8510328259798486,B
64-1,328156.6,4.40795433e6,0.3695063246249666,0.6455965348605917,B
68A-1,328229.72,4.40707921e6,0.5320690813725072,0.5804212877268015,A
68B-1,328065.7,4.40706164e6,0.4965200294225988,0.7578336898487281,B
77-1,328214.13,4.40718169e6,0.5602004048408908,0.6094046090372678,A
81-1,328567.28,4.40851194e6,7.964551911134334e-11,0.862804211034337,B
81-11,326859.34,4.4069495e6,0.7693019183349091,0.06617740799471024,A
81A-1,328598.76,4.40855648e6,1.2563449157489691e-14,0.8453526112639335,B
81B-1,328528.63,4.40843124e6,0.08040056761231257,0.9104373255541583,B
82A-11,326907.12,4.40670723e6,0.7151587308813531,2.7654347595691783e-16,A
82A-11-RD1,326907.12,4.40670723e6,0.7151587308813531,2.7654347595691783e-16,A
82A-11-RD2,326907.12,4.40670723e6,0.7151587308813531,2.7654347595691783e-16,A
82A-11-RD3,326907.12,4.40670723e6,0.7151587308813531,2.7654347595691783e-16,A
88-11,326889.0,4.40544507e6,0.11244320954820487,0.4338644432626782,B
B1,327745.53,4.40596877e6,0.2900868628840342,0.58986452652876,B
B2,327721.65,4.40609786e6,0.16296182100854156,0.9501586005251094,B
B3,327738.97,4.40619405e6,0.66263242869071,0.28413907027841967,A
B4,327778.14,4.40639034e6,0.7022893790280298,0.611183931033166,A
B5,327713.81,4.40629808e6,0.7443233902120371,0.337412421106967,A
B5A,327754.04,4.40637455e6,0.6802127152911607,0.6378458606728475,A
B6,327848.36,4.40636567e6,0.9063565107604166,0.26251410449159107,A
B7,327784.51,4.40629935e6,1.0,0.524044794479413,A
B8,327603.56,4.40643766e6,0.5945884685679828,0.47551862437928083,A
BCH-1,328398.2,4.40887416e6,0.057896015347080464,0.6021562961773854,B
BCH-2,327732.14,4.40800628e6,0.24882892885189686,0.6457322581417058,B
BCH-3,327126.74,4.40600409e6,0.23266628584734644,0.4653981394120469,B
EE-1,327575.0,4.40640489e6,0.54548603544242,0.4469015278052816,A
MG-1(SP-1),328194.09,4.4071925e6,0.5935932814387398,0.5106361205932007,A
MG-2(SP-2),328128.08,4.4076273e6,0.44905678657706855,0.5875271370121745,A
MGI-1,327853.91,4.40678619e6,0.5861696999566257,0.6690883204978159,A
MGI-2,327994.35,4.40709171e6,0.8277558085904402,0.7295001594595748,A
