Name,S1,S2,Signal
Normal stress,0.6729426592902915,0.34410712737687127,A
Coulomb shear stress,0.6718492883575332,0.34867317463928166,A
Dilation,0.7576884962084713,0.35052325098573534,A
Faulting,0.8629875576268325,0.406182249674626,A
Fault dilation tendency,3.245544493242752e-16,1.0,B
Fault slip tendency,3.245544493242752e-16,0.7061461395777436,B
Fault curvature,3.245544493242752e-16,0.8906899843519797,B
Temperature,3.245544493242752e-16,0.23930605182825876,B
Fault density,0.8492356640710569,0.47309914366181627,A
Fault intersection density,0.6729079883796926,0.4198976095625259,A
Inverse distance from contacts,0.38735044082720776,0.1913516826614679,A
Inverse distance from faults,0.9648450697995458,0.7175948069289426,A
Unit thickness,1.0,0.5456324268710172,A
Lithology,0.5195751636138405,0.26981895755878904,A
