Name,S1,S2,Cluster
Normal stress,0.9601131245079613,0.61791111084288,A
Coulomb shear stress,1.0,0.592917656317089,A
Dilation,0.9030272083989982,0.7431552885982556,A
Faulting,0.6354112869775598,0.5386904010827686,A
Fault dilation tendency,0.4259211878599723,0.3904645410620725,A
Fault slip tendency,0.5569723945473535,0.4825074610206039,A
Fault curvature,0.14500687821932512,0.12306819549225456,A
Temperature,0.8466176139085573,1.0,A
Fault density,0.5669725986639826,0.8251317090638427,A
Fault intersection density,0.3901349145357759,0.3711772041973431,A
Distance from faults,0.5007529020715871,0.13902227143874746,B
