Name,S1,S2,S3,Cluster
Normal stress,0.42060517798567126,0.9110663832863898,0.9042962617309941,A
Coulomb shear stress,0.392651124888246,1.0,0.8722512726585789,A
Dilation,0.6283209788709584,0.9965802231268448,0.7840431130904278,A
Faulting,0.45421655189556814,0.5098265705396835,0.7282254047911346,A
Fault dilation tendency,0.33770730320988496,0.3536000143477159,0.49946243864067186,A
Fault slip tendency,0.40511304995445124,0.44505813122299737,0.6501228641983438,A
Fault curvature,0.11712973620007917,0.11856488704757184,0.14754153837036668,A
Temperature,1.0,0.8957859693549712,0.8779350663639479,B
Fault density,0.733344257395812,0.3133548534199057,1.0,A
Fault intersection density,0.5752618987081384,0.23495176920743968,0.2694815540715759,B
Distance from faults,0.08914473842120116,0.6331108797456888,0.16525192280743198,C
