Name,S1,S2,Signal
Normal stress,0.5295313925387647,0.7957297984056432,B
Coulomb shear stress,0.5587237984533205,0.764126507389941,B
Dilation,0.759658655677035,0.6853504061675987,A
Faulting,0.9774079675545403,0.7081878556191379,A
Fault dilation tendency,0.4440051300786208,0.6414470755764937,B
Fault slip tendency,0.32315116967218316,0.4450930670300487,B
Fault curvature,0.39507258599013717,0.5739361947505996,B
Temperature,0.11367446908155895,0.13360931635524212,B
Fault density,1.0,0.8097833512033806,A
Fault intersection density,0.5936410110250537,0.8158423822583328,B
Inverse distance from faults,0.8715749513366137,1.0,B
