Name,X,Y,A,B,C,Signal
3985,-112.04218,41.27214,0.42033193,0.31081128,0.07933712,A
3986,-111.85356,41.78104,0.43314323,0.20089804,0.16029398,A
3987,-111.85467,41.77826,0.45786023,0.20044528,0.15856393,A
3988,-111.15472,43.6067,0.16000284,0.15265828,0.43881333,C
3989,-112.25411,40.69328,0.18104577,0.43925565,0.13567945,B
3990,-112.288,40.59994,0.18040575,0.39367706,0.14073291,B
3991,-111.39133,42.99909,0.12917821,0.35940573,0.16359787,B
3992,-112.32528,40.49692,0.17850713,0.37294692,0.15293483,B
3993,-112.26628,40.66053,0.1642332,0.41627166,0.12995766,B
3994,-112.02855,41.31105,0.4520101,0.30600038,0.08259853,A
3995,-112.26358,40.66878,0.15102932,0.41856188,0.13027695,B
3996,-112.26164,40.67417,0.15194729,0.4219745,0.13095818,B
3997,-112.25939,40.68128,0.15374297,0.42455012,0.13179612,B
3998,-112.26244,40.67292,0.14457005,0.41351277,0.13261293,B
3999,-112.2625,40.67306,0.15417042,0.42239454,0.13061027,B
4000,-112.25528,40.69306,0.14937872,0.42814294,0.13526493,B
4001,-112.26717,40.66106,0.18428554,0.42658213,0.1277982,B
4002,-112.06855,41.2055,0.36435398,0.31148654,0.10252179,A
4003,-111.40606,42.96464,0.1294069,0.3358438,0.16760491,B
4004,-111.37828,43.03714,0.14237699,0.35476744,0.13249221,B
4005,-112.26522,40.66772,0.18353163,0.42933303,0.12904577,B
4006,-111.39156,43.00319,0.12594017,0.35580802,0.16226652,B
4007,-111.86744,41.75021,0.4463539,0.19394152,0.16046184,A
4008,-112.06878,41.20694,0.36299467,0.31059808,0.102608696,A
4009,-111.84939,41.79882,0.4464021,0.19967146,0.15991497,A
4010,-112.05911,41.23328,0.38643426,0.31431592,0.08939348,A
4011,-112.278,40.63356,0.19133945,0.40736765,0.13119991,B
4012,-111.77522,41.99715,0.4541852,0.20564714,0.17182462,A
4013,-112.11217,41.08939,0.37910518,0.3584411,0.079916134,A
