Name,X,Y,A,B,C,D,E,F,Signal
1,-110.87099,39.80579,0.2148878,0.22884029,0.1908832,0.27724323,0.12374414,0.19815136,A
2,-111.00711,39.47886,0.16537485,0.17832683,0.13989781,0.14929342,0.08034895,0.2090895,A
3,-111.03461,39.41025,0.2605393,0.2819441,0.16319951,0.13958317,0.009262158,0.25581524,A
4,-111.03961,39.44302,0.22668102,0.24778692,0.15129226,0.1468745,0.027039215,0.2462729,A
5,-110.89655,39.88135,0.20933208,0.2181916,0.23156711,0.26608285,0.21476986,0.27545708,D
6,-111.05961,39.43413,0.17228776,0.18591005,0.1454154,0.1474546,0.082859546,0.22509934,A
7,-111.066,39.4233,0.18290268,0.19879799,0.14201067,0.14814027,0.06281966,0.22443305,A
8,-111.05322,39.4658,0.16299379,0.17091951,0.16068816,0.14687447,0.12285229,0.21961516,A
9,-111.06961,39.42858,0.21472709,0.23325971,0.14074822,0.15098692,0.021856776,0.21163528,A
10,-111.11211,39.32108,0.23832929,0.25749475,0.14906086,0.11972167,0.0076210424,0.23501644,A
11,-110.9735,39.71691,0.25607672,0.2810812,0.16232319,0.2688829,0.020212226,0.19779816,A
12,-111.056,39.49469,0.18945287,0.20111746,0.16637954,0.14510247,0.10032442,0.24138053,A
13,-111.05628,39.49469,0.19820012,0.21172214,0.16073412,0.14655711,0.0796496,0.23442441,A
14,-111.05656,39.49469,0.1776556,0.185135,0.17382951,0.1449326,0.12937246,0.23543146,A
15,-111.11628,39.32802,0.2651415,0.2858376,0.1642219,0.116832115,0.004511797,0.2623755,A
16,-111.11267,39.34552,0.21968882,0.23847978,0.1436499,0.15043679,0.02144366,0.21678637,A
17,-111.12184,39.32024,0.23870961,0.2579906,0.1488176,0.119761206,0.0066846143,0.2349235,A
18,-111.12239,39.31941,0.24697024,0.26704672,0.1524267,0.11915623,0.0036799163,0.24116263,A
19,-111.12378,39.32163,0.21847746,0.23738195,0.14841142,0.11764592,0.029571235,0.24630278,A
20,-111.12378,39.32191,0.22883555,0.24916537,0.15036596,0.117203414,0.02093311,0.2529058,A
21,-111.12383,39.32187,0.26557785,0.28490382,0.17004514,0.11762955,0.015214476,0.2510096,A
