Name,X,Y,S1,S2,S3,Cluster
15-12,327137.93,4.40603467e6,0.9266132665890046,0.8462959364934519,0.36506485295309155,B
17-31,328813.04,4.40882204e6,0.3281699495638219,0.37359412996420055,0.27607853632864204,B
18-1,327026.54,4.40703217e6,0.9723160823423896,0.6388115488003885,0.4328565892712164,C
18-31,328801.97,4.40871725e6,0.2671541200789234,0.26313163064922124,0.16686859569354612,B
18A-1,327056.33,4.40703775e6,0.9619343098905122,0.5387672118388657,0.45871440992002,C
18B-31,328791.32,4.40871144e6,0.28855924030877467,0.3525072250285092,0.19332632977815062,B
18D-31,328751.91,4.40862911e6,0.3599082801056053,0.30637763217540065,0.13630640002504582,B
22-13,327161.72,4.4051245e6,0.37822087160220785,0.30607302826290245,0.690621060791446,A
26-12,327300.66,4.40579963e6,0.4335355667602045,0.4538092833784585,0.42721370283074295,A
27-1,327256.49,4.40720478e6,1.0,0.4344377851367619,0.5026855935334518,C
27A-1,327256.49,4.40720478e6,0.9999993416753371,0.434437785136774,0.5026866711925841,C
46-1,327805.01,4.40748476e6,0.5306979205874363,0.4996652820520152,0.6199161663449997,A
46A-1,327774.78,4.40740108e6,0.49670332441182247,0.44618863392364366,0.6574938942811168,A
47A-1,327661.35,4.40729129e6,0.5824128349862496,0.5146549853434678,0.9233863294643744,A
47C-1,327746.25,4.4073085e6,0.5193467428553471,0.43366929012513283,0.7765140658487862,A
48A-1,327704.9,4.40718065e6,0.35864675737390345,0.11904480689371093,0.5494332415265715,A
55-1,328014.47,4.40772054e6,0.2708832325550609,0.9566028351024444,0.6827908058426706,B
56-1,327963.43,4.40755491e6,0.49195135655140354,1.0,0.9284120922096618,A
56A-1,327859.51,4.40755578e6,0.4771870696121068,0.7524651480980338,0.7423307011394039,A
56B-1,327891.35,4.40745289e6,0.4082842195465207,0.26766833560458897,0.464720030463964,A
57-1,327931.46,4.40741438e6,0.7027621620164113,0.9505791110835298,0.9862156120751734,A
64-1,328156.6,4.40795433e6,0.28754647045715287,0.5312342626181079,0.9708009636148087,A
68A-1,328229.72,4.40707921e6,0.7075429746900401,0.6897431971471997,0.8079726629509433,A
68B-1,328065.7,4.40706164e6,0.5373677199865038,0.7740595239529715,0.7515281677378319,A
77-1,328214.13,4.40718169e6,0.702642865864924,0.8391186359786016,0.8192446041096061,A
81-1,328567.28,4.40851194e6,0.21638522740627986,0.23412671701182053,0.21182150443391626,B
81-11,326859.34,4.4069495e6,0.7297122333551751,0.3624637958033493,0.12389950277097585,C
81A-1,328598.76,4.40855648e6,0.20320548240675446,0.2065396248212561,0.19992642994636034,A
81B-1,328528.63,4.40843124e6,0.24298615364273293,0.3221607409614235,0.16588482095985724,B
82A-11,326907.12,4.40670723e6,0.8770689098022977,0.21982691336781168,0.3549048121436117,C
82A-11-RD1,326907.12,4.40670723e6,0.8770846892854314,0.21983992272088612,0.3548853421945262,C
82A-11-RD2,326907.12,4.40670723e6,0.8770711825277893,0.2198285651504291,0.3549021719228733,C
82A-11-RD3,326907.12,4.40670723e6,0.8770856714315614,0.21984269201938594,0.35488268208487617,C
88-11,326889.0,4.40544507e6,0.6776412390914919,0.5673161443612836,0.5196319480840754,B
B1,327745.53,4.40596877e6,0.28800051220562967,0.48400263848282965,0.5651288746940517,A
B2,327721.65,4.40609786e6,0.08222676798667333,1.9949640427602063e-16,0.08105792278978213,A
B3,327738.97,4.40619405e6,0.18627105602530317,0.1378016538954435,0.18955213816728658,A
B4,327778.14,4.40639034e6,0.21502184931194052,0.29193857133343926,0.22765906653316736,B
B5,327713.81,4.40629808e6,0.5089690156804834,0.4508426792171682,0.5192290403178873,A
B5A,327754.04,4.40637455e6,0.3342734737599273,0.44983938559253783,0.3255392955050172,B
B6,327848.36,4.40636567e6,0.20756442487081486,0.26471387955494746,0.19352878835232884,B
B7,327784.51,4.40629935e6,0.07542611144321618,0.15927556369163834,0.06584817655527919,B
B8,327603.56,4.40643766e6,0.684913584432439,0.41170202344448603,0.8092259348666825,A
BCH-1,328398.2,4.40887416e6,0.35733383262656465,0.6066493896337952,0.5844946396358579,A
BCH-2,327732.14,4.40800628e6,0.4975599277559101,0.6808910534192714,0.7782970820656615,A
BCH-3,327126.74,4.40600409e6,0.9221365647586441,0.9135092290472772,0.36165749709302497,B
EE-1,327575.0,4.40640489e6,0.7515167540614763,0.39804500878408744,0.7716010306721589,A
MG-1(SP-1),328194.09,4.4071925e6,0.6886844739075874,0.6642557571955737,0.8773775867162346,A
MG-2(SP-2),328128.08,4.4076273e6,0.3680703435375532,0.6274654619488556,1.0,A
MGI-1,327853.91,4.40678619e6,0.14314923215067019,0.18323767152024945,0.2578697214319397,A
MGI-2,327994.35,4.40709171e6,0.12970333668456913,0.29552358918658067,0.1483799377946517,B
