Name,S1,S2,S3,Cluster
Normal stress,0.7804675544677098,0.3023303551598561,0.6998173119603899,C
Coulomb shear stress,0.8401343663963418,0.3160399959568691,0.6512731753995612,C
Dilation,0.818338466531181,0.6146406148107131,0.5421228521779634,B
Faulting,1.0,0.8452629703722221,0.4992080682870497,B
Fault dilation tendency,0.4133012668746584,0.3848026964881592,0.5628171817494778,A
Fault slip tendency,0.28409826752604156,0.28316781777895894,0.3919877860457362,A
Fault curvature,0.3681737952537314,0.338377085781778,0.5063263476970274,A
Temperature,0.10676202913853922,0.0987082545690347,0.11014191388711016,A
Fault density,0.7158530948644791,1.0,0.6025934308178666,B
Fault intersection density,0.32280852955348177,0.6321580986014786,0.7406138242022751,A
Inverse distance from faults,0.9868965307155172,0.839630654747259,1.0,A
