Name,S1,S2,S3
15-12,0.02398706390967171,1.2850461296747687e-17,0.03047989906480572
17-31,1.4957412092186643e-17,0.037631105765682474,0.012696312790655752
18-1,0.04871918684971037,1.409905462112e-9,0.013447857365043602
18-31,0.018655117628397992,0.04190562856211848,0.002680452657728806
18A-1,0.04505300459003604,1.2850461296747687e-17,0.014149509111759708
18B-31,0.02042385677036224,0.04053442748058281,0.001143313634777439
18D-31,0.028346163768839028,0.031136640340627197,0.0065282631014969795
22-13,0.0004396816072417122,0.030609585328816913,0.008386856017394242
26-12,1.4957412092186643e-17,0.022366930691537897,0.027413962498566105
27-1,0.031103497904954706,1.2850461296747687e-17,0.022554890977104614
27A-1,0.031103506065798772,1.2850461296747687e-17,0.022554905183415196
46-1,7.223251013816075e-11,0.02858088534417695,0.030769036778321976
46A-1,2.1601722200392952e-17,0.025305601117089516,0.03385053180661593
47A-1,3.1887197376509215e-14,0.024621779707908378,0.030971491174263465
47C-1,3.9097431429512916e-13,0.003416318147462226,0.05165083812189945
48A-1,1.4957412092186643e-17,1.2850461296747687e-17,0.06311618532752182
55-1,0.019890434018663684,0.027773421672492242,0.02351825416613672
56-1,4.580607032408781e-9,0.03986438368748012,0.026443670704277722
56A-1,0.023160483492745184,2.327534416223657e-15,0.04366609084586367
56B-1,1.4957412092186643e-17,0.016468949786376367,0.05138820390023196
57-1,1.0449094898802662e-14,0.03851418145000886,0.030478611670144182
64-1,0.013819521685775115,0.04467216492204755,1.1602537200111908e-17
68A-1,0.021370814919813304,0.029406228808413006,0.013888093436970592
68B-1,0.02414923566522496,0.02859592048625589,0.019685137919778484
77-1,0.03555615418732035,0.018070156643120987,0.017643346095243578
81-1,3.6110515543098512e-9,0.05057971561889294,0.0019467447080913428
81-11,1.4957412092186643e-17,1.2850461296747687e-17,0.042982402349837835
81A-1,4.5157244940696556e-10,0.050517283502599486,0.0013016219381397577
81B-1,0.02899917875254361,0.03353182314827825,0.000935651252604137
82A-11,0.04954419903663265,1.2850461296747687e-17,1.1602537200111908e-17
82A-11-RD1,0.04954419903663265,1.2850461296747687e-17,1.1602537200111908e-17
82A-11-RD2,0.04954419903663265,1.2850461296747687e-17,1.1602537200111908e-17
82A-11-RD3,0.04954419903663265,1.2850461296747687e-17,1.1602537200111908e-17
88-11,0.02847372329836137,0.0024703795606394715,0.01970413547159631
B1,1.4957412092186643e-17,4.286022657119809e-5,0.04712202421342543
B2,2.677424525066257e-9,0.036586978228733615,0.018548314179240685
B3,0.019646047618659804,1.2862958138351004e-5,0.041485363075931384
B4,0.025302709213638655,0.03113696565959396,0.0050053702892199495
B5,0.0429276737362137,0.020065555732561708,1.1602537200111908e-17
B5A,0.028691876089094487,0.028147738385419438,0.006352845169486041
B6,0.03576549223427845,1.4391307675289808e-6,0.03192529011609215
B7,0.05015456271189357,0.01700084726531401,0.006516963337770024
B8,9.29069574999567e-9,0.02465820624666851,0.024693588734438825
BCH-1,0.01692654452678429,0.01691014475494296,0.019838634347200335
BCH-2,1.4957412092186643e-17,0.015967308898093918,0.03318169361175636
BCH-3,0.0226807132951473,1.2850461296747687e-17,0.032550079098420816
EE-1,1.0074242458892955e-6,0.022223441650210625,0.026480408850269057
MG-1(SP-1),0.038029023227258714,0.020065770387564234,0.01218584530790503
MG-2(SP-2),0.01559958873448146,0.04870023317374783,1.1602537200111908e-17
MGI-1,0.017493698725388536,0.027658063862193896,0.020924938702303882
MGI-2,0.04535362051690707,0.024248070256962247,0.007212370896252601
