Name,S1,S2,S3,S4,Cluster
Normal stress,0.7861783762568246,0.6430625378002929,0.26631447281112625,0.6881468137012151,C
Coulomb shear stress,0.6230584015218863,0.7222341550469632,0.2744674352877422,0.6625183193234164,C
Dilation,0.3086663821518789,0.7425028576943175,0.5551565841835918,0.6409580946620262,B
Faulting,0.020854742698059182,1.0,0.7428988144425447,0.6592849411595751,B
Fault dilation tendency,0.8793136319787894,0.302840815813853,0.39802543387839645,0.44446617720641324,A
Fault slip tendency,0.5840700504651034,0.20983480064852847,0.29859264576864203,0.3122999715282836,A
Fault curvature,0.7794124483057203,0.2639181690515853,0.35182386473881194,0.40471438751027344,A
Temperature,0.16513036847590667,0.07383899711227962,0.10270468981580755,0.09811878698876896,A
Fault density,0.17559805645068136,0.6710959004990215,1.0,0.6836081748311134,B
Fault intersection density,0.613911921141414,0.22483419246805927,0.627878173844694,0.7365793604861031,D
Inverse distance from faults,1.0,0.8895126146201413,0.7476445007888005,1.0,D
