Name,X,Y,S1,S2,S3,S4,S5,S6,S7,S8,Signal
8,34.12501194,-106.9785008,0.76547755649144,0.4383101718978623,0.445140640799758,0.0,0.06044794192033744,0.9487927367460502,0.03558419166968638,0.0,G
9,34.15003574,-108.3236553,0.02615830084021127,0.07548897841751583,0.5760434622126195,0.016434184846254547,0.6775748561700103,0.0,0.05460636400747424,0.5509285850985612,C
10,34.03785708,-106.7815119,0.45352142156764724,0.5073622589453368,0.3639282833801373,0.0,0.028810805931085086,0.8347171236042452,0.0,0.0,G
11,34.05325124,-106.9551655,1.0,0.32604164068944486,0.16736506063573742,0.0,0.0,1.0,0.19558095659568817,0.0,G
12,33.89254513,-108.5081617,0.02870451640745423,0.0,0.49797798630320633,0.0,0.564592259859483,0.11473986047113265,0.0,0.9970913413718079,C
13,33.71474239,-109.0185221,4.4244247163669434e-16,0.0,0.0,0.03345042485155178,0.28594036817254737,0.0,0.7800947675804663,0.5752803227001154,E
14,33.57268338,-107.5905579,0.0,0.06023812763834597,0.9559156197743749,0.16937834775978175,0.3840286511763924,0.03869568734351418,1.1081157295721662e-5,0.578686485052191,C
15,33.40490196,-106.8975047,0.0,0.2065889196108669,0.9494638163042742,0.46633893998839004,0.12107389594474598,0.0,0.045046368063678635,0.0,D
16,33.23272251,-108.2455859,0.0005962977244231989,0.14941024475959933,0.42501957654393696,0.0,0.24108814167390719,0.05411369607149972,0.18483576590998024,0.9459159617895886,C
17,33.23328042,-108.2241539,0.0,0.1702480185496718,0.5324060956179417,4.4257197687173515e-10,0.28907349280994493,0.01210352467961356,0.046195192823870815,1.0,C
18,33.28479029,-107.5605437,0.2721229319951468,0.41498670690140005,0.8148265617112785,0.16240049779468207,0.24342911799320932,0.0922496492777537,0.17305702122196817,0.2930792691876203,A
19,33.10029397,-108.4763133,0.08104953595939128,0.3636543723941617,0.7544783246934678,0.1093815117323221,0.04242680050405638,0.0,0.42739542187031576,0.7698634836827319,E
20,33.12838501,-107.255928,0.9050419749388559,0.8236663260050392,0.41538317271093655,0.1238045721771724,0.0,0.12457307914865466,0.0,0.0,H
21,32.93459903,-108.5980719,0.030923399367591833,0.5929678919470897,0.8645604474293141,0.025169176259108965,0.16666518721740134,0.0,0.0,0.5493116144765356,C
22,32.95994845,-107.5725187,0.23828049854821348,0.5872864124567052,0.31564483209310096,0.20362004208532722,0.0,0.0,0.2406612273222187,0.580270896393409,A
23,32.9699912,-108.620893,0.03527340926738752,0.6027713104918238,0.38984416673372463,0.0,0.14714660724172846,0.0,0.027238233515767332,0.5445002601637482,C
24,33.05549771,-107.2968987,0.9293086141299509,0.7690949543869627,0.48580609935845126,0.0,0.0,0.08765265527010202,0.0,0.028448247708871482,H
25,32.80351607,-107.2690376,0.21328585570895567,0.6633380802783397,0.26346556776020197,0.2691804057362597,0.11798397567537376,0.11026332256968616,0.0974619763630976,0.07762049097915213,A
26,32.81392736,-108.4010589,0.0,1.0,0.5131647868278636,0.0,0.0,0.0,0.5670941549443171,0.024648775252984218,A
27,32.83089057,-109.0422131,0.0,0.3184495865945,0.39120024956075794,0.4082583774739753,0.004097411473353771,0.1250580516141339,0.2845478810639816,0.18191469662560833,A
28,32.84699667,-108.5091049,0.0,0.7069404260189152,0.6322669021796253,0.0,0.0,0.0,0.0540853565134624,0.4710980823218246,A
29,32.88119541,-108.574546,0.00636984580097687,0.798038832629486,0.20926901377709792,0.012722228419783724,0.14044260940790668,0.055585104500048964,0.28524994252257146,0.26653047392727636,A
30,32.88712043,-108.3611214,0.0,0.8454171307708678,0.6511877173346182,0.0,0.0,0.05840119082714996,1.0,0.0,E
31,32.75570562,-107.8440603,0.0,0.2588310045783473,0.8242887190823892,0.21377954387710313,0.04502094014403759,0.05601367708772535,0.514681919080867,0.5071159024767498,E
32,32.77702868,-107.6953191,0.0,0.2823490253682014,0.6811650595331072,0.07541709470834951,0.0,0.0,0.3587712359181985,0.7800772144043493,E
33,32.55301934,-108.0292645,0.0,0.5507693170291299,0.4336896909414866,0.28919057359888206,0.0,0.02653572147822828,0.16423327147723019,0.29048482953143745,A
34,32.55403823,-107.9867174,0.0,0.4536987680126866,0.6749572208104011,0.40211248502570934,0.0,0.041277805466995325,0.1567068964236492,0.2891964589050644,A
35,32.64048324,-108.1387645,0.0,0.9507426519602361,0.16553265311399554,0.12852480075459857,0.0,0.04812041767578105,0.24459934567036307,0.0,A
36,32.50270608,-106.9208891,0.27325219311648624,0.1950512187602807,0.6017814740997112,0.6702027724829643,0.020697922949699913,0.08718850437474454,0.0,0.1341374070296814,D
37,32.24927086,-106.9792122,0.8160075705885268,0.0,0.0,0.772874986889143,0.0,0.0,0.05138473741429244,0.11304062922902354,F
38,32.25659024,-107.5737009,0.0,0.010754206659643542,0.5962237057718813,0.7170225981112427,0.0,0.0,0.0,0.23223171037003437,D
39,32.27132749,-106.7036745,0.0,0.0,0.0,1.0,0.0,0.10830595724235591,0.0,0.19287355626621422,D
40,32.2846619,-107.0224495,0.6941687895398366,0.0,0.015110305007909693,0.7327981364547901,0.04139845267562638,0.019500786913870305,0.0891877974234875,0.06586359564678544,F
41,32.07547507,-107.6109744,0.0,0.1015654018666651,0.5318824077436443,0.7225592441614017,0.0,0.0,0.35733640009634804,0.0,D
42,32.1426885,-106.8708971,0.43224490319087383,0.0,0.45124685007705345,0.7209962321344215,0.046390426413681136,0.0,0.0,0.0,F
43,32.15224481,-108.8424302,0.1918446913506967,0.0,0.8236690328451033,0.701522708313247,0.0,0.0,0.0,0.33911610769302797,D
44,31.8515527,-107.0340698,0.7408657362467087,0.02721189683830138,0.51476670011007,0.9157352672534669,0.043056975930794966,0.0,0.0917412335045488,0.019706080174396394,F
