Location,Lon,Lat,Boron concentration,Gravity anomaly,Magnetic intensity,Volcanic dike density,Drainage density,Fault intersection density,Quaternary fault density,Seismicity,State map fault density,Spring density,Volcanic vent density,Lithium concentration,Precipitation,Silica geothermometer,Hydraulic gradient,Heat flow,Crustal thickness,Depth to basement
Ojo Caliente,-106.0453,36.3021,-2.5611601,-226.4640045,-168.427002,0.0003616,20.4591999,0.0,0.0,0.0004937,8.2803602,0.0041554,0.0004452,-2.9256301,333.6000061,48.4322014,3.480602264,5.54543066,33.84117889,2415.204346
Victoria Land and Cattle Co. Well,-106.8975047,33.40490196,-1.84881,-165.8910065,-65.3766022,0.477648,6.4298501,0.0027757,0.0550582,0.001008,0.871632,0.0005062,0.0004011,-2.8782101,252.9799957,43.0051003,1.889620423,4.050900459,30.73120689,2014.331909
Gila Hot Springs 1,-108.2455859,33.23272251,-1.91248,-221.5619965,-149.2709961,0.127362,24.1564999,0.0,0.0,0.0010564,25.5135994,0.002795,0.0029852,-7.7944002,422.6099854,69.9347992,6.58687067,4.415980339,33.95504379,412.8314209
Gila Hot Springs 2,-108.2241539,33.23328042,-1.75331,-222.8540039,-138.7749939,0.112049,24.7007999,0.0,0.0,0.0010112,23.6762009,0.0028307,0.003041,-6.6989899,425.8800049,70.8451004,3.214520454,4.55618906,33.92805099,518.56604
Warm Springs,-107.5605437,33.28479029,-2.0513999,-193.2539978,113.5350037,0.220136,19.0408001,0.0290795,2.62556,0.0003564,16.4652004,0.0039205,0.0034615,-2.50998,314.5700073,56.0228004,5.362918377,4.261900425,32.68168259,1252.447021
Turkey Creek Spring,-108.4763133,33.10029397,-3.16131,-196.4230042,54.8391991,0.983928,19.1874008,0.0008867,3.6851299,0.0016959,28.1119003,0.0018679,0.0016514,-3.721,493.4200134,81.2733002,5.846381187,4.408914566,33.60517502,56.31774902
Truth or Consequences Spring,-107.255928,33.12838501,-1.12154,-168.1829987,-54.344799,2.17507,18.3922997,0.0639687,20.5114002,0.0003338,10.3366003,0.0029029,0.0017004,-3.2836201,265.8800049,55.3064995,0.608296275,4.332046986,30.98964691,303.524292
Riverside Store Well,-108.5980719,32.93459903,-1.28579,-196.0870056,-102.8700027,1.56225,22.6441002,0.0004754,2.49527,0.0018887,11.7410002,0.0021023,0.0007905,-2.3998799,356.0700073,60.8236008,0.927106738,4.316281796,32.88383484,-164.9414063
Spring,-107.5725187,32.95994845,-4.13236,-183.5449982,334.473999,0.218474,20.1200008,0.0114755,1.8100899,0.0001031,20.1147003,0.0011027,0.0062379,-6.7808399,361.8800049,117.1709976,5.087536335,3.799284935,31.49476624,-103.5698242
Cliff Warm Spring,-108.620893,32.9699912,-2.4660201,-199.0769958,-47.0629997,1.29048,22.8327007,0.0006189,2.58325,0.0018383,10.9813995,0.0019794,0.0011451,-6.93046,364.1600037,64.1672974,1.758251548,4.216306686,33.07675171,-190.9669189
B. Iorio 1 Well,-107.2968987,33.05549771,-2.08442,-196.5310059,-48.2066002,1.93641,18.7530003,0.0570964,21.0177994,0.0002295,9.1438198,0.0028219,0.0027553,-2.6080999,260.3800049,59.3874016,0.890776515,4.022761822,30.88385582,-187.848999
Derry Warm Springs,-107.2690376,32.80351607,-1.46347,-161.6109924,197.0169983,0.659377,18.3302002,0.0065168,9.1563797,0.0004307,15.8691998,0.002056,0.000167,-7.51823,276.1499939,37.4177017,3.038392067,4.613621235,29.99150085,-119.7615967
Ash Spring,-108.4010589,32.81392736,-2.7044699,-193.2449951,66.6311035,4.9137201,17.0345993,0.0,2.79e-5,0.0016176,9.2857199,0.0026226,0.0003173,-5.00108,492.0400085,29.2584,4.148349285,4.411275387,32.15654755,-91.87548828
Goat Camp Spring,-109.0422131,32.83089057,-2.13186,-159.1849976,-29.7129993,0.750611,10.0419998,0.0009731,2.2165599,0.0072771,10.5993996,0.0024225,0.0005131,-7.9560399,344.0299988,68.8684006,5.805438995,4.415421963,32.39371109,19.02270508
Mangas Springs,-108.5091049,32.84699667,-2.62149,-200.9570007,-227.0919952,3.5031199,20.1683006,6.06e-5,0.90933,0.0017857,11.5108995,0.0023412,0.0003637,-4.4819398,393.480011,53.6198997,0.278402686,4.233841896,32.39556885,-177.5078125
Spring Canyon Warm Spring,-108.574546,32.88119541,-2.0548799,-194.220993,117.3249969,2.29266,21.8878002,0.0002123,1.50463,0.0019335,12.7154999,0.0022552,0.0004729,-8.3387098,361.7099915,51.6147995,5.817071915,4.227338791,32.59925842,-57.33837891
Allen Springs,-108.3611214,32.88712043,-3.16591,-189.2960052,184.5549927,3.62482,17.2933998,2.27e-5,0.013154,0.001694,15.6442003,0.0028527,0.0006907,-3.9995501,514.4899902,23.9846001,13.89744186,4.432087898,32.47960663,50.9432373
Mimbres Hot Springs,-107.8440603,32.75570562,-2.3236499,-200.6499939,43.4185982,0.67029,15.3676004,0.0017356,1.12571,0.0003556,19.0485001,0.0036848,0.0002109,-3.8163199,445.8999939,68.270401,9.079042435,4.887046337,31.04721069,50.00683594
Garton Well,-107.6953191,32.77702868,-3.20315,-196.7969971,35.6451988,0.150282,17.9640007,0.0002929,0.0,0.0001239,28.8724995,0.0023766,0.001285,-5.0332298,489.8500061,70.0337982,4.337620735,3.921137333,30.89879608,-265.5537109
Kennecott Warm Springs Well,-108.0292645,32.55301934,-2.37465,-178.348999,-69.898201,1.4220001,17.7831993,0.0019046,1.75541,0.0003431,1.11859,0.0025852,0.0,-6.91327,355.019989,66.0851974,4.269805908,5.030576229,29.97490311,408.7316895
Faywood Hot Springs,-107.9867174,32.55403823,-2.5976801,-172.1309967,-49.7705994,0.939266,16.5594006,0.0022323,2.8057001,0.0002866,1.86962,0.0029034,0.0,-4.7807798,346.4299927,67.2226028,4.190650463,5.525612354,29.96442413,619.204895
Apache Tejo Warm Springs Well,-108.1387645,32.64048324,-1.82226,-181.1809998,15.0458002,3.80707,17.3253002,0.001006,0.032331,0.0007455,0.677333,0.0027316,0.0,-8.5766001,326.25,52.0461006,4.687549114,4.588798523,30.67561722,23.68481445
Radium Hot Springs,-106.9208891,32.50270608,-0.750097,-151.4459991,-7.78197,0.0103241,8.8154097,0.0131056,11.3970003,0.0026957,10.5818996,0.0013111,2.3e-6,-5.3243899,264.1700134,63.6178017,0.288043678,5.426980019,28.17137909,1191.410156
Well 4,-106.9792122,32.24927086,-1.30284,-161.6660004,-56.1301003,0.0,3.39394,0.0083214,28.4897995,0.0031066,10.6085997,0.0001679,0.0061625,-10.0067997,274.25,93.9722977,1.919989586,4.679798126,27.66778946,3372.644531
Well south of Carne,-107.5737009,32.25659024,-2.3697901,-156.6580048,-129.5720062,0.456996,4.33779,0.0004768,2.11307,0.0017142,5.9886298,0.001148,0.000378,-6.7959499,269.6900024,87.0867004,1.350580692,4.4772439,28.37870598,2760.890625
Los Alturas Estates,-106.7036745,32.27132749,-1.50254,-141.4190063,-127.5429993,0.0040673,7.6143198,0.0027869,0.0458688,0.0016511,6.5753398,0.0014829,5.6e-6,-12.7445002,265.3099976,71.936203,2.161909819,6.286369801,27.41937828,4321.473633
Well 2,-107.0224495,32.2846619,-1.18322,-162.4920044,0.763899,0.0,4.4572902,0.007562,24.2381992,0.0033748,11.7798996,0.0002611,0.0057682,-10.1367998,279.4500122,70.516098,1.734568357,4.839560986,27.79341507,2992.583252
Well 3,-107.6109744,32.07547507,-2.5093801,-139.9640045,31.7264996,0.838857,2.06043,0.0011004,2.1052599,0.0014455,4.9685702,0.0010169,0.0003897,-7.2709899,369.0,50.9874992,4.054903984,4.255470276,28.01766968,3072.501953
Well 5,-106.8708971,32.1426885,-1.9363101,-167.2050018,-29.9358997,0.0,2.53737,0.0082906,15.4798002,0.0020407,3.10672,4.05e-5,0.0051446,-6.7620001,243.7599945,46.9962997,0.298428386,3.966178179,27.37534332,5459.637207
Lightning Dock,-108.8424302,32.15224481,-0.98644,-167.9960022,-168.1139984,0.0864164,4.6046801,0.0080515,8.3995399,0.0019777,4.2694802,0.0,0.0,-3.8987899,291.5299988,107.276001,0.752804995,5.007893562,29.77153206,1800.489014
Federal H1 Well,-107.0340698,31.8515527,-0.449592,-132.0440063,34.9950981,0.0,5.7679501,0.0044796,20.3131008,0.0008644,7.2143502,0.0,0.0153923,-5.0487099,253.8099976,78.7480011,2.747357845,4.886835575,27.2688179,2906.240234
