Name,S1,S2,Signal
Normal stress,0.6942276992471063,0.5262179600046569,B
Coulomb shear stress,0.6670262048043152,0.5514602867887304,B
Dilation,0.5586072721367561,0.7665547392830303,A
Faulting,0.5622598068979212,0.981163083858756,A
Fault dilation tendency,0.5636919642070648,0.4371286001519046,B
Fault slip tendency,0.391967622418393,0.3154691588510434,B
Fault curvature,0.5055857846573105,0.3874279093492143,B
Temperature,0.1160679637801575,0.11151456854937954,B
Fault density,0.6601822873747589,1.0,A
Fault intersection density,0.69190231444123,0.6077981322358946,B
Inverse distance from faults,1.0,0.989982704531651,B
