Name,X,Y,S1,S2,S3,S4,S5,Signal
15-12,327137.93,4.40603467e6,0.8077870521386483,0.7846245579639075,0.08583784693035898,0.1974206058934403,0.834753703937832,A
17-31,328813.04,4.40882204e6,0.21946743643501018,0.2801743944664244,0.10004579601565103,0.2888284484601822,0.3731699101081215,C
18-1,327026.54,4.40703217e6,0.9283265260960694,0.7128084303199518,0.47520291184791547,0.1603061395629025,0.6339885859587285,A
18-31,328801.97,4.40871725e6,0.09387910569977355,0.22969236002829801,0.05683706888641826,0.19404554770674162,0.2624436827062139,C
18A-1,327056.33,4.40703775e6,0.8804612345096817,0.7400285650116456,0.4756556242189142,0.18067434825011158,0.5345273490562351,A
18B-31,328791.32,4.40871144e6,0.12243021702447497,0.23523156771983633,0.06254914911120231,0.23527939582364796,0.3517134383880755,C
18D-31,328751.91,4.40862911e6,0.1873287070390828,0.2790766400468236,0.0464974592361625,0.13082389292163873,0.3043360581326393,A
22-13,327161.72,4.4051245e6,0.7524046665926015,0.28397049758916904,0.03412204803314,0.8232648566986728,0.29940003520602415,E
26-12,327300.66,4.40579963e6,0.45302339136443853,0.41606998706798193,0.22046724628399272,0.33489294538610687,0.4521997765380605,A
27-1,327256.49,4.40720478e6,0.5314362595283154,1.0,0.20956666002700924,0.2936436586462826,0.4270470612785775,A
46-1,327805.01,4.40748476e6,0.2520418224975222,0.5740002789283664,0.17229572254094253,0.6144899703249339,0.4978990372628432,C
46A-1,327774.78,4.40740108e6,0.22977578379034913,0.5658365763926406,0.16490238191346618,0.6710542351245514,0.44529814775482873,C
47A-1,327661.35,4.40729129e6,0.325711922287398,0.7085121605854999,0.21092404782505556,0.9191875606959918,0.5147343647192564,C
47C-1,327746.25,4.4073085e6,0.2489482696638163,0.635526197624272,0.19172423062052302,0.7761828348649387,0.43458760746308034,C
48A-1,327704.9,4.40718065e6,0.13820461707518025,0.46382512223103495,0.12729042531467252,0.5389785935696705,0.11933849205853389,C
55-1,328014.47,4.40772054e6,0.34162174882215895,0.3137990224578908,0.4164843603176135,0.640672682394249,0.9588006379030172,B
56-1,327963.43,4.40755491e6,0.4398066548931636,0.5284719861011257,0.28000838622474084,0.9879022195171124,1.0,C
56A-1,327859.51,4.40755578e6,0.2582317669779391,0.5372236256708062,0.20656666799557713,0.7812303862017279,0.7515830878155851,C
56B-1,327891.35,4.40745289e6,0.11312745179061404,0.4674556780524751,0.18017193947563998,0.4520001447612673,0.2679218614518614,C
57-1,327931.46,4.40741438e6,0.4913569774179935,0.7095534317699805,0.3149776099641039,1.0,0.9493376994509033,C
64-1,328156.6,4.40795433e6,0.4051674596636581,0.3154555870999745,0.8641384518307327,0.9195479509651994,0.5321546547797782,E
68A-1,328229.72,4.40707921e6,0.9492556801661065,0.6000073054992395,1.0,0.34197750037068425,0.6834321769015698,D
68B-1,328065.7,4.40706164e6,0.5174363936044605,0.5562508583531185,0.9408732238464736,0.3832881335114221,0.7761333394370721,B
77-1,328214.13,4.40718169e6,0.8808148453950488,0.6155933083015976,0.8884437815143607,0.43681480730280564,0.8375881184186516,B
81-1,328567.28,4.40851194e6,0.0818015131283835,0.22108988167790267,0.0019933987831453896,0.25904765253919426,0.23411982347922447,C
81-11,326859.34,4.4069495e6,0.27743728009670343,0.5991693374415397,0.18320846404445978,0.08433739968029516,0.35749562897236103,A
81A-1,328598.76,4.40855648e6,0.062190056533197376,0.21491218170144136,0.006761407990697622,0.24464632428996258,0.20633305537578395,C
81B-1,328528.63,4.40843124e6,0.09101546263102625,0.21078668172111184,0.004012753900856515,0.21610992749223432,0.32035869235432884,C
82A-11,326907.12,4.40670723e6,0.9137598389810005,0.6977052783809953,0.08488940734092341,0.2773963603811027,0.2149153375686058,A
88-11,326889.0,4.40544507e6,1.0,0.5354981564907727,0.07662234665266499,0.3645850924893569,0.5597256230632466,A
B1,327745.53,4.40596877e6,0.6305903923083382,0.1761309147690679,0.35453276398240996,0.5124275423985394,0.48081724275636306,E
B2,327721.65,4.40609786e6,0.08323024711802227,0.08656355797419789,0.09610268273784772,0.03287101236809271,1.9338474307197354e-16,D
B3,327738.97,4.40619405e6,0.23008990341583824,0.1658541338307348,0.25371715923708105,0.07027798849650664,0.13667559111947436,D
B4,327778.14,4.40639034e6,0.14271169022667632,0.2235290975559834,0.2929425193712987,0.1311137407812748,0.29201123479647095,B
B5,327713.81,4.40629808e6,0.4705026982578806,0.47541191848036973,0.6526106319349568,0.2631916562113155,0.44924800888706556,D
B5A,327754.04,4.40637455e6,0.29181065593113104,0.2988141926741648,0.4400661250797723,0.15610772014199645,0.44958489383697153,B
B6,327848.36,4.40636567e6,0.2314091045408585,0.1740316851334217,0.240604577261465,0.0906031394261229,0.26321529403503025,B
B7,327784.51,4.40629935e6,0.0332098687682175,0.07129266511230684,0.10359539838862217,0.04631388049293215,0.15894183054155156,B
B8,327603.56,4.40643766e6,0.3618674647236045,0.8206295613795969,0.9652894734129761,0.46797661475539465,0.4119315982651513,D
BCH-1,328398.2,4.40887416e6,0.2243222583407856,0.4612960211295701,0.005270824298513286,0.6782219385423804,0.6058592995957277,C
BCH-2,327732.14,4.40800628e6,0.45911581607977503,0.6420494345369389,0.48585634064743904,0.5683588999203675,0.6796990839320879,C
BCH-3,327126.74,4.40600409e6,0.8258978476216577,0.7617617582072247,0.08735477555246336,0.20183437875314167,0.9009676459832817,A
