Name,S1,S2,Signal
Normal stress,0.513039903769756,0.737061300156084,B
Coulomb shear stress,0.4983531268147759,0.7460701339292717,B
Dilation,0.7587192778354682,0.6351194725432565,B
Faulting,0.9191961386910096,0.7065761915814396,B
Fault dilation tendency,0.44069341162609754,0.6052428593242662,B
Fault slip tendency,0.3290033352071063,0.4141504014252936,B
Fault curvature,0.39613928160654005,0.5387048070800764,B
Temperature,0.10796286003114867,0.13190088047496393,B
Fault density,1.0,0.7617078331227072,B
Fault intersection density,0.6654017121970807,0.7029182883126734,B
Inverse distance from contacts,0.6195187489593641,0.16625646981885012,A
Inverse distance from faults,0.8238983186729301,0.9574682217192012,B
Unit thickness,0.920900499042696,1.0,B
Lithology,0.5268669018468063,0.4884730844345823,B
