,NPV
142,-19183500.0
143,-25002200.0
144,46219200.0
145,27688600.0
146,26952100.0
147,-7952230.0
148,-25308700.0
149,-15616800.0
150,-24625500.0
151,-25767300.0
152,-14000100.0
153,-20106700.0
154,-19343000.0
155,-13068900.0
156,-22935300.0
157,-14666000.0
158,-15705600.0
159,-22541300.0
160,-23335800.0
161,-19415000.0
162,-10458100.0
163,6990400.0
164,-22878300.0
165,-17179700.0
166,-24628900.0
167,-10068700.0
168,-22682200.0
169,-19652100.0
170,-7536830.0
171,-15004800.0
172,-20617400.0
173,-20202400.0
174,-23830200.0
175,-23760100.0
176,-24965700.0
177,-23840300.0
178,-25128800.0
179,-23804100.0
180,-23241600.0
181,-25128800.0
182,-25088300.0
183,-22201900.0
184,-20584700.0
185,-23036100.0
186,-25128800.0
187,-14950900.0
188,-25128800.0
189,-22562500.0
190,-23844900.0
191,-21806300.0
192,-20765600.0
193,-23406900.0
194,-11819900.0
195,-5375020.0
196,-13165200.0
197,-23311400.0
198,-10357600.0
199,-22266500.0
200,-8024240.0
201,-11655400.0
202,-24428500.0
203,-7620770.0
204,-17119600.0
205,-24640900.0
206,-24618100.0
207,-25255700.0
208,-23008800.0
209,-25257000.0
210,-25260500.0
211,-25131700.0
212,-25256100.0
213,-25257200.0
214,-23574300.0
215,-25255700.0
216,-24478800.0
217,-25255800.0
218,-23571600.0
219,-19086200.0
220,-23222400.0
221,-20539500.0
222,-16486700.0
223,-21939600.0
224,-15960700.0
225,-9300360.0
226,-17111800.0
227,-16837100.0
228,-2958100.0
229,-24601100.0
230,150969000.0
231,-24601300.0
232,-24352000.0
233,-24601200.0
234,-17412000.0
235,-14592500.0
236,-20107300.0
237,-3944430.0
238,40378200.0
239,-22702800.0
240,-24601100.0
241,-24601100.0
242,-24601100.0
243,-24601100.0
244,614218000.0
245,-7946650.0
246,-22934100.0
247,-17270700.0
248,-17662600.0
249,-21983400.0
250,24161300.0
251,30486900.0
252,-22521900.0
253,-15699200.0
254,-1471770.0
255,-6852170.0
256,-12656400.0
257,-21612000.0
258,32776300.0
259,28977100.0
260,-13097100.0
261,32231700.0
262,-22785800.0
263,-21080500.0
264,-6321450.0
265,-6232150.0
266,21120300.0
267,-7421240.0
268,-11741800.0
269,-10981100.0
270,23379700.0
271,-3558860.0
272,-6912640.0
273,52939500.0
274,-88166800.0
275,-215557000.0
276,31363500.0
277,-2013340000.0
278,61110800.0
279,26390900.0
280,23917300.0
281,-16082700.0
282,29449500.0
283,-15972700.0
284,-14264300.0
285,-94305700.0
286,-235959000.0
287,-217374000.0
288,-24680500.0
289,-23927000.0
290,-24680500.0
291,-150195000.0
292,-24351800.0
293,-21443700.0
294,-24386500.0
295,-24680500.0
296,-24680500.0
297,-21603800.0
298,-26528200.0
299,-22856500.0
300,-10755800.0
301,-11807700.0
302,-37554700.0
303,-24931800.0
304,-25181100.0
305,-25615000.0
306,-25615000.0
307,-25615000.0
308,131681000.0
309,-14574700.0
310,7578240.0
311,9406840.0
312,-26034200.0
313,-30176500.0
314,32766400.0
315,72107800.0
316,94397400.0
317,37942900.0
318,-19774100.0
319,-21301900.0
320,-20046200.0
321,-25624600.0
322,-25867100.0
323,-12192300.0
324,-12605800.0
325,-17678900.0
326,-12940400.0
327,-21270400.0
328,9789830.0
329,43402800.0
330,34559800.0
331,-21109100.0
332,1200870000.0
333,-10467000.0
334,583852000.0
335,-24877200.0
336,565232000.0
337,-24877200.0
338,33087500.0
339,-2942460.0
340,66426500.0
341,-24878700.0
342,728171000.0
343,-4505560.0
344,9239530.0
345,-17922400.0
346,-23890300.0
347,-10851300.0
348,-17919200.0
349,-1127520.0
350,-24524000.0
351,6060960.0
352,-9053720.0
353,-18100000.0
354,-25639500.0
355,-21590400.0
356,-14217200.0
357,-16079500.0
358,-11505000.0
359,-18797400.0
360,-16579900.0
361,-25178400.0
362,-22997500.0
363,-25119200.0
364,-25118700.0
365,-13249600.0
366,-16537900.0
367,-23589900.0
368,-25118700.0
369,-25118700.0
370,-25118700.0
371,-22558200.0
372,-15282900.0
373,-18469600.0
374,-13394600.0
375,-23874000.0
376,-23060800.0
377,-25143800.0
378,-21232500.0
379,-24614600.0
380,-23014700.0
381,-25402300.0
382,-24646700.0
383,-24102200.0
384,-21493100.0
385,-18773700.0
386,-19372300.0
387,-23552400.0
388,-25402300.0
389,-24707600.0
390,-21564000.0
391,-24296100.0
392,-24266200.0
393,-17004000.0
394,-15579200.0
395,-23005400.0
396,-13064900.0
397,-22058700.0
398,5410140.0
399,-25327300.0
400,-27956600.0
401,-9324880.0
402,-17459300.0
403,-17604000.0
404,-17880200.0
405,-18923600.0
406,-22437000.0
407,-21547100.0
408,-22962400.0
409,6494210.0
410,-151691000.0
411,-22812100.0
412,-25209600.0
413,-25305800.0
414,-7219560.0
415,2521050.0
416,-19922800.0
417,-13130900.0
418,-115782000.0
419,-24151500.0
420,-25474700.0
421,75096600.0
422,117934000.0
423,-25110300.0
424,65592200.0
425,13351200.0
426,-13670500.0
427,13966500.0
428,-12893500.0
429,-7355650.0
430,-14753800.0
431,-6768030.0
432,-17253300.0
433,-16660900.0
434,1000980000.0
435,46554100.0
436,9952440.0
437,41406700.0
438,-27356400.0
439,-17045200.0
440,-17735800.0
441,164841000.0
442,-15775900.0
443,6826570.0
444,-13614500.0
445,-7006480.0
446,-9814010.0
447,-6236760.0
448,-20651900.0
449,-21559100.0
450,-17825000.0
451,-20351900.0
452,-23849900.0
453,-24958600.0
454,-21840900.0
455,-21899500.0
456,-24958600.0
457,-24818200.0
458,-24958600.0
459,-23558700.0
460,-22080700.0
461,-14540200.0
462,-11636800.0
463,-17803800.0
464,-24709000.0
465,-23012700.0
466,-23038700.0
467,-23574000.0
468,-24958600.0
469,-21960700.0
470,-25248600.0
471,35879300.0
472,-21734300.0
473,-21897700.0
474,-19959000.0
475,-21379800.0
476,-18060600.0
477,-23950400.0
478,-20645700.0
479,-17925500.0
480,-13371800.0
481,-22363400.0
482,21581100.0
483,-20963400.0
484,-23906800.0
485,-2829580.0
486,-22092400.0
487,-21394000.0
488,-21664500.0
489,-19961300.0
490,-25248600.0
491,-25248600.0
492,-25249400.0
493,-20400300.0
494,-24670300.0
495,-21805800.0
496,3306200.0
497,-22137200.0
498,313215000.0
499,-3316730.0
500,936866000.0
501,338674000.0
502,-14045000.0
