,Pout:0.000,Pout:0.750,Pout:1.500,Pout:2.250,Pout:3.000,Pout:3.750,Pout:4.500,Pout:5.250,Pout:6.000,Pout:6.750,Pout:7.500,Pout:8.250,Pout:9.000,Pout:9.750,Pout:10.500,Pout:11.250,Pout:12.000,Pout:12.750,Pout:13.500,Pout:14.250,Pout:15.000,Pout:15.750,Pout:16.500,Pout:17.250,Pout:18.000,Pout:18.750,Pout:19.500,Pout:20.250,Pout:21.000,Pout:21.750,Pout:22.500,Pout:23.250,Pout:24.000,Pout:24.750,Pout:25.500,Pout:26.250,Pout:27.000,Pout:27.750,Pout:28.500,Pout:29.250
1350,6941.39,6941.39,6694.29,5378.06,3722.56,2769.45,1358.24,408.527,-401.239,-1124.33,-1725.98,-2208.1,-2647.96,-2976.45,-3299.04,-3604.96,-3877.71,-4124.26,-4380.73,-4580.94,-4766.15,-4936.81,-5094.83,-5241.61,-5378.39,-5530.33,-5652.71,-5763.52,-5867.55,-5965.73,-6058.6,-6100.18,-6232.2,-6267.86,-6349.76,-6423.78,-6494.21,-6561.44,-6625.72,-6687.24
1351,294.778,294.778,294.778,294.778,294.778,294.778,294.778,294.778,294.777,294.777,294.777,294.777,294.777,294.777,294.777,294.777,294.777,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.776,294.775,294.775
1352,576.589,576.589,576.589,576.589,576.589,576.589,576.589,576.589,576.589,576.589,576.589,576.588,576.588,576.588,576.588,576.588,576.588,576.588,576.588,576.588,576.588,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587,576.587
1353,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28,1857.28
1354,5108.71,5108.71,5108.71,5108.71,5108.71,5108.71,5108.71,5108.71,5108.71,5108.71,5108.71,5108.71,5107.45,5071.82,5008.54,4933.95,4825.86,4754.69,4587.28,4398.49,4235.58,4094.31,3970.24,3890.1,3762.07,3645.9,3528.81,3411.9,3314.74,3216.74,3126.26,3034.57,2951.32,2871.61,2800.41,2723.43,2652.77,2584.44,2511.21,2448.76
1355,-6635.53,-6642.55,-10801.4,-12209.3,-13021.3,-13564.2,-13949.1,-14227.8,-14454.5,-14638.8,-14792.1,-14922.2,-15034.0,-15131.3,-15217.2,-15293.5,-15362.4,-15424.0,-15479.9,-15530.9,-15577.7,-15620.9,-15660.7,-15697.1,-15731.6,-15763.4,-15793.6,-15822.0,-15848.6,-15876.3,-15897.5,-15922.2,-15943.4,-15963.5,-15982.6,-16000.9,-16018.3,-16034.9,-16050.8,-16066.1
1356,308.128,308.128,308.128,308.128,308.128,308.128,308.128,308.128,308.127,308.127,308.127,308.127,308.127,308.127,308.127,308.127,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.126,308.125,308.125,308.125,308.125
1357,6377.5,6377.5,6377.5,6377.5,6377.5,6348.11,6112.98,5766.82,5430.58,5113.36,4808.4,4360.15,3959.04,3722.59,3489.49,3243.15,3021.15,2797.11,2610.98,2468.56,2306.52,2161.77,2026.14,1907.72,1788.24,1677.7,1558.99,1462.96,1350.22,1272.69,1192.46,1103.49,1029.65,960.855,895.496,833.117,773.478,716.389,661.682,609.203
1358,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.64,3440.63,3440.63,3440.63,3440.63,3440.63,3440.63,3440.63,3435.62,3420.59,3399.78,3375.24,3348.51,3320.67,3262.31,3234.32,3216.68,3186.93,3115.36,3045.5,2981.21,2922.02,2867.44,2816.97,2770.11,2726.4
1359,7153.68,7153.68,7153.68,7153.68,6893.24,5872.53,5271.37,4768.48,4014.98,3589.86,3136.62,2743.12,2434.27,2114.86,1885.8,1641.73,1429.87,1248.49,1070.56,909.09,740.4,606.01,480.5,363.969,255.27,153.616,58.3015,-49.4866,-136.568,-215.177,-289.181,-359.313,-425.92,-489.278,-549.63,-579.051,-663.742,-689.128,-743.492,-792.837
1360,553.32,553.32,553.32,553.32,553.32,553.32,553.32,553.32,553.32,553.32,553.32,553.319,553.319,553.319,553.319,553.319,553.319,553.319,553.319,553.319,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318,553.318
1361,4892.05,4892.05,4892.05,4892.05,4892.05,4892.05,4892.05,4833.65,4667.03,4511.1,4166.34,3897.05,3685.91,3466.32,3266.05,3078.78,2899.08,2740.63,2618.25,2490.06,2371.41,2268.06,2162.96,2066.71,1976.62,1882.42,1804.06,1730.11,1660.37,1594.43,1531.98,1457.97,1398.32,1345.19,1295.06,1247.26,1201.55,1157.78,1115.82,1075.56
1362,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.83,2856.82,2856.82,2856.82,2856.82,2856.82,2856.82,2845.99,2847.53,2832.3,2813.06,2791.36,2768.33,2716.67,2694.35,2676.08,2661.91,2586.66,2529.13,2476.26,2427.64,2382.85,2341.45,2303.02,2267.38,2275.4
1363,5808.32,5808.32,5808.32,5808.32,5808.32,5626.6,5237.16,4636.89,4221.96,3814.46,3443.52,3138.31,2870.45,2663.99,2458.47,2273.28,2115.46,1961.22,1821.95,1679.96,1564.3,1457.16,1357.87,1265.49,1179.29,1098.64,1005.79,932.311,866.278,804.22,745.488,689.779,636.851,607.455,537.005,511.629,464.384,421.633,380.894,341.892
1364,-27182.9,-27189.9,-30800.0,-31657.7,-32096.8,-32378.4,-32591.8,-32733.8,-32845.5,-32936.2,-33011.6,-33075.4,-33130.4,-33178.2,-33220.3,-33257.9,-33291.5,-33321.8,-33349.3,-33374.5,-33397.5,-33418.8,-33438.5,-33456.7,-33473.7,-33489.6,-33504.5,-33518.5,-33531.7,-33544.2,-33555.9,-33567.1,-33577.6,-33587.7,-33597.3,-33606.4,-33615.1,-33623.2,-33631.1,-33638.8
1365,21102.1,21100.9,19839.0,19285.8,18944.5,18771.9,18638.0,18531.0,18442.6,18368.6,18305.3,18250.2,18201.8,18158.7,18120.1,18085.2,18053.5,18024.5,17997.8,17973.2,17950.3,17929.1,17909.2,17890.6,17873.2,17856.7,17841.2,17826.5,17812.6,17799.4,17786.9,17774.9,17763.5,17752.5,17742.1,17732.1,17722.5,17712.8,17703.1,17693.8
1366,6627.82,6627.82,6481.42,5757.89,4606.25,3770.24,3070.72,2517.97,2050.22,1680.98,1383.0,1169.44,936.843,737.096,540.12,386.2,247.503,122.16,8.18624,-95.9755,-191.607,-297.33,-379.878,-454.162,-523.26,-587.875,-621.355,-683.047,-738.24,-790.105,-839.075,-885.417,-929.35,-971.067,-1010.74,-1048.52,-1084.55,-1118.96,-1151.85,-1183.33
1367,462.456,462.456,462.456,462.456,462.456,462.456,462.456,462.456,462.456,462.456,462.456,462.456,462.455,462.455,462.455,462.455,462.455,462.455,462.455,462.455,462.455,462.455,462.455,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454,462.454
1368,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.43,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42,1655.42
1369,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42,1713.42
1370,1262.63,1259.97,679.378,448.061,318.38,238.915,182.351,136.976,101.587,73.0614,49.5126,28.2092,11.4555,-4.79642,-17.2812,-28.266,-38.0746,-46.8959,-54.8767,-62.1352,-68.7684,-74.8564,-80.4659,-85.653,-90.4655,-94.9437,-99.1227,-103.032,-106.699,-110.145,-113.391,-116.455,-119.351,-122.094,-124.696,-127.167,-129.519,-131.76,-133.897,-135.938
1371,1254.08,1249.41,590.3,364.378,239.186,161.919,107.25,64.4249,31.1458,4.4181,-19.1179,-39.4075,-54.6596,-67.8075,-79.336,-89.5391,-98.6397,-106.813,-114.197,-120.906,-127.03,-132.646,-137.816,-142.594,-147.023,-151.142,-154.983,-158.576,-161.943,-165.106,-168.085,-170.895,-173.55,-176.064,-178.449,-180.713,-182.867,-184.919,-186.875,-188.744
1372,712.482,700.683,-30.1653,-207.146,-302.268,-360.395,-404.749,-432.694,-454.283,-471.603,-485.839,-497.772,-507.935,-516.707,-524.365,-531.116,-537.118,-542.493,-547.338,-551.731,-555.736,-559.403,-562.775,-565.887,-568.771,-571.451,-573.949,-576.284,-578.472,-580.528,-582.462,-584.287,-586.012,-587.645,-589.193,-590.664,-592.063,-593.396,-594.667,-595.882
1373,400.527,400.527,400.527,400.527,400.527,400.527,400.527,400.527,400.527,400.527,398.777,390.576,374.815,347.62,329.998,316.57,304.135,291.375,281.56,268.678,258.522,249.3,240.886,233.587,226.154,219.14,212.537,207.305,201.251,195.61,190.248,185.157,180.314,175.266,170.891,166.691,162.672,158.826,155.14,151.604
1374,-935.473,-946.858,-1552.88,-1679.12,-1743.87,-1779.16,-1803.65,-1821.8,-1835.86,-1847.13,-1856.38,-1864.14,-1870.76,-1876.48,-1881.47,-1885.89,-1889.82,-1893.35,-1896.53,-1899.43,-1902.07,-1904.5,-1906.73,-1908.8,-1910.71,-1912.5,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18,-1913.18
1375,389.084,389.084,389.084,389.084,389.084,389.084,389.084,389.084,389.084,389.084,389.084,389.084,389.084,389.084,389.084,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.083,389.082,389.082
1376,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.664,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663,201.663
