,hpro:0.000,hpro:0.750,hpro:1.500,hpro:2.250,hpro:3.000,hpro:3.750,hpro:4.500,hpro:5.250,hpro:6.000,hpro:6.750,hpro:7.500,hpro:8.250,hpro:9.000,hpro:9.750,hpro:10.500,hpro:11.250,hpro:12.000,hpro:12.750,hpro:13.500,hpro:14.250,hpro:15.000,hpro:15.750,hpro:16.500,hpro:17.250,hpro:18.000,hpro:18.750,hpro:19.500,hpro:20.250,hpro:21.000,hpro:21.750,hpro:22.500,hpro:23.250,hpro:24.000,hpro:24.750,hpro:25.500,hpro:26.250,hpro:27.000,hpro:27.750,hpro:28.500,hpro:29.250
1257,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154,882.154
1258,832.326,831.75,718.832,670.83,640.244,620.549,604.079,591.076,580.407,571.434,562.274,555.697,549.984,544.885,540.289,536.118,532.31,528.815,525.591,522.604,519.828,517.237,514.813,512.537,510.395,508.374,506.464,504.654,502.935,501.301,499.745,498.26,496.841,495.483,494.183,492.935,491.738,490.586,489.478,488.411
1259,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155,882.155
1260,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159,882.159
1261,662.162,661.734,566.677,536.47,517.995,505.549,495.308,488.4,482.794,478.103,474.099,470.63,467.585,464.883,462.465,460.284,458.303,456.493,454.83,453.296,451.875,450.554,449.32,448.166,447.082,446.062,445.1,444.19,443.328,442.51,441.732,440.991,440.284,439.608,438.962,438.343,437.75,437.18,436.632,436.105
1262,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.157,882.156,882.156,882.156,882.156,882.156,882.156,882.156,882.156,882.156
1263,882.15,882.15,819.155,760.183,722.546,694.779,674.315,658.061,645.304,633.488,623.337,614.462,606.611,599.596,591.817,586.08,580.979,576.3,571.974,567.957,564.215,560.716,557.434,554.349,551.441,548.693,546.092,543.623,541.277,539.044,536.914,534.88,532.934,531.071,529.284,527.569,525.921,524.335,522.808,521.336
1264,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176
1265,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176
1266,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176
1267,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176
1268,793.814,787.982,700.592,661.85,640.034,623.463,611.029,601.183,593.112,585.292,579.599,574.673,570.314,566.417,562.905,559.717,556.804,554.129,551.66,549.372,547.242,545.253,543.39,541.639,539.99,538.433,536.96,535.562,534.234,532.97,531.764,530.613,529.512,528.458,527.447,526.476,525.543,524.645,523.78,522.946
1269,882.157,882.157,836.903,792.912,765.094,743.994,728.32,716.683,705.844,696.682,688.738,681.755,675.548,669.977,663.856,659.259,655.147,651.362,647.853,644.585,641.532,638.669,635.978,633.442,631.045,628.775,626.621,624.573,622.623,620.761,618.983,617.281,615.65,614.085,612.582,611.136,609.744,608.402,607.108,605.859
1270,882.166,882.166,882.166,882.166,882.166,882.166,882.166,882.166,882.166,882.166,882.166,882.166,882.176,882.176,882.176,868.855,859.107,857.367,851.676,850.012,846.501,840.871,838.012,835.332,833.788,831.269,828.847,826.522,824.287,822.136,820.065,818.067,816.138,814.275,812.474,810.73,808.755,808.467,805.42,805.269
1271,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,881.381,882.176,882.176,882.176,882.176,871.044,865.707,863.054,860.651,856.135,853.951,853.57,851.62,849.604,846.072,845.369,843.698,842.064,840.482,838.945,837.451,835.999,834.587
1272,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.168,882.166,882.176,882.176,882.176,882.176,871.386,865.742,862.962,860.456,855.89,853.585,853.162,851.14,849.064,845.49,844.734,843.016,841.339,839.716,838.14,836.611,835.125,833.681,832.276
