LATITUDE_NAD83,LONGITUDE_NAD83,TEMP_C,GEOTHERMOMETER_QUARTZ_C,GEOTHERMOMETER_CHALCEDONY_C,pH_FIELD,TDS_LAB,AL_PPM,B_PPM,BA_PPM,BE_PPM,BR_PPM,CA_PPM,CL_PPM,HCO3_PPM,K_PPM,LI_PPM,MG_PPM,NA_PPM,δO18
39.401360000000004,-111.11406,10.5,29.80538087,-3.047255133,7.266666666666666,,,0.03,,,,82.0,7.3,,2.7,,58.0,21.0,
39.31941,-111.14406,14.0,31.41696437,-1.4212727040000002,7.2,,,0.02,,,,90.0,7.3,,2.5,,46.0,20.0,
39.51247,-111.07572,8.5,25.90736547,-6.970753847,7.8,,,,0.086,0.0005,,69.0,2.1,,1.3,0.011,26.0,2.5,
39.3483,-111.13406,11.0,26.36107635,-6.514755261,7.5,,,0.03,,,,97.0,7.6,,2.5,,48.0,21.0,
39.5133,-111.07572,9.5,28.55037887,-4.311903106,7.2,,,,0.079,0.0005,,100.0,3.4,,8.2,0.033,42.0,6.4,
39.35747,-111.13156,9.0,29.80538087,-3.047255133,7.8,,,0.03,,,,78.0,6.7,,3.8,,42.0,17.0,
39.33774,-111.13878,6.15,26.80931205,-6.064084175,7.1,,,,,,,59.0,4.2,,0.6,,28.0,15.0,
39.52858,-111.07128,8.7,17.40606413,-15.48204628,7.9,,0.001,0.013,0.029,,,90.5,1.38,301.5,1.405,0.0076,38.7,2.955,
39.5308,-111.071,8.6,24.688826785,-8.1941687535,7.85,,0.0015,0.011,0.0215,,,54.45,2.585,242.0,0.74,0.00445,19.3,2.785,
39.4033,-111.11684,10.666666666666666,,,7.15,,,,,,,,,,,,,,
39.53163,-111.07128,15.15,25.230441295,-7.6489899205,7.25,,0.001,0.0125,0.022,,,55.36666666666667,3.4066666666666663,239.0,0.8966666666666666,0.006,20.0,3.3866666666666667,
39.3308,-111.14295000000001,6.242857142857142,28.12262066,-4.742635979,7.2,,,0.07,,,0.1,100.0,11.0,,0.9,,41.0,23.0,
39.32301999999999,-111.14599999999999,4.785714285714286,,,,,,,,,,,,,,,,,
39.31274000000001,-111.14989,5.785714285714286,,,7.3,,,,,,,,,,,,,,
39.33469,-111.14295,13.5,34.0850877,1.275675079,7.8,,,0.04,,,0.1,130.0,12.0,,2.9,,56.0,15.0,
39.33663,-111.14267,13.0,29.39164054,-3.464326954,7.0,,,0.04,,,,110.0,9.6,,3.7,,53.0,18.0,
39.34636,-111.13933999999998,5.725,29.80538087,-3.047255133,7.1,,,,,,,85.0,8.8,,0.7,,33.0,23.0,
39.40469000000001,-111.11878,10.5,,,,,,,,,,,,,,,,,
39.52802,-111.07572,5.25,18.570126965,-14.320215595,7.2,,0.002,0.009000000000000001,0.087,,,65.06666666666666,1.83,226.0,1.2633333333333334,0.0036,13.1,1.6833333333333333,
39.44552,-111.10545,8.6,,,6.9,,,,,,,,,,,,,,
39.53024,-111.07545,10.7,24.03456796,-8.851107547,7.9,,,0.02,,,,47.0,2.2,,1.6,0.01,4.1,1.6,
39.23108,-111.18378,13.3,31.80952422,-1.024862298,,,,,,,,140.0,320.0,,21.0,,48.0,150.0,
39.48691,-111.09378,6.0,24.51179877,-8.372239439,7.8,,,0.04,,,,79.0,2.9,,0.9,,22.0,2.7,
39.52997,-111.0785,6.6,16.157129405,-16.710997159999998,6.85,,0.002,0.012,0.10900000000000001,,,58.633333333333326,1.63,215.66666666666666,1.2366666666666666,0.00255,9.023333333333333,1.7,
39.32691,-111.15128,14.2,32.58290197,-0.243504812,7.4,,,0.04,,,,88.0,7.5,,3.0,,46.0,22.0,
39.33497,-111.1485,7.6499999999999995,,,,,,,,,,,,,,,,,
39.48413,-111.09739,5.4,,,7.2,,,,,,,,,,,,,,
39.5258,-111.08322,6.2,17.853397766666664,-15.035360386666667,6.966666666666666,,0.0016666666666666668,0.009,0.05566666666666667,,,72.1,1.6325,260.25,0.7575,0.0025666666666666667,12.899999999999999,2.12,
39.35023999999999,-111.14573,4.483333333333333,26.80931205,-6.064084175,7.5,,,0.05,,,,72.0,5.1,,0.6,,25.0,12.0,
39.34219000000001,-111.14878,6.25,,,,,,,,,,,,,,,,,
39.48441,-111.09906,5.2,,,7.1,,,,,,,,,,,,,,
