Name,S1,S2,S3,Cluster
Normal stress,0.8437208550078301,0.744946080309928,0.42181880564312974,B
Coulomb shear stress,0.795609077168631,0.8101017214827275,0.4063028619121778,B
Dilation,0.8119848286809445,0.7486248554201737,0.6135810755332871,B
Faulting,0.641965765387952,0.3843891625676003,0.5020812380212137,A
Fault dilation tendency,0.43614117638675765,0.2604132870564806,0.38330694502337426,A
Fault slip tendency,0.5766249168646475,0.33884913279932205,0.4405354597480341,A
Fault curvature,0.1432696652317107,0.09576436310370025,0.10841200379649599,A
Temperature,0.9279168862518232,0.6087339805656058,1.0,A
Fault density,1.0,0.24903222792134452,0.6715937091655703,A
Fault intersection density,0.33200487205282064,0.16639511019022046,0.49769679332407973,A
Distance from contacts,0.1807655431115659,0.4672000862667884,0.24296809844615394,B
Distance from faults,0.1928227231251507,0.5127378397362621,0.04965934455196047,C
Unit thickness,0.3985686563177227,0.8587631705982601,0.5192885582640124,B
Lithology,0.7599383461589079,1.0,0.7404306870831345,B
