15-12,327137.93,4.40603467e6,0.3472923343750765,2.552493255069282e-16,0.4613949568560753,A
17-31,328813.04,4.40882204e6,0.06826585550249828,0.03504847615152992,0.3926606110466193,A
18-1,327026.54,4.40703217e6,0.9915475138347225,2.552493255069282e-16,2.951990097978461e-16,C
18-31,328801.97,4.40871725e6,0.1519755888381475,1.4143165159350226e-8,0.5640677319076355,A
18A-1,327056.33,4.40703775e6,1.0,2.552493255069282e-16,2.951990097978461e-16,C
18B-31,328791.32,4.40871144e6,0.19114915549894293,1.7951968871763683e-9,0.47294412576852307,A
18D-31,328751.91,4.40862911e6,3.521286900451622e-7,0.19082291663597836,0.3963661746120158,A
22-13,327161.72,4.4051245e6,2.644769818254882e-16,2.552493255069282e-16,0.5748829336895885,A
26-12,327300.66,4.40579963e6,0.17126028155374334,0.022374161657089622,0.5291159565776786,A
27-1,327256.49,4.40720478e6,0.8786386685684953,2.552493255069282e-16,2.951990097978461e-16,C
27A-1,327256.49,4.40720478e6,0.8819053159732272,2.552493255069282e-16,2.951990097978461e-16,C
46-1,327805.01,4.40748476e6,0.16177126530592498,0.6367974974266826,2.951990097978461e-16,B
46A-1,327774.78,4.40740108e6,0.19986104319119088,0.5701553982564743,2.951990097978461e-16,B
47A-1,327661.35,4.40729129e6,0.30307773177462055,0.5780655947686661,5.263402979005055e-11,B
47C-1,327746.25,4.4073085e6,0.11597613703698792,0.6684162192782235,2.951990097978461e-16,B
48A-1,327704.9,4.40718065e6,0.03250192193725003,0.8291504044246344,2.951990097978461e-16,B
55-1,328014.47,4.40772054e6,0.052079897986063696,0.4499194477424716,0.5328896958957601,A
56-1,327963.43,4.40755491e6,0.4211792450674971,0.2003424953181944,0.547748636334927,A
56A-1,327859.51,4.40755578e6,0.153389947927452,0.6475149915444978,2.951990097978461e-16,B
56B-1,327891.35,4.40745289e6,3.065377689802797e-9,0.9134754334543911,0.06699366908831257,B
57-1,327931.46,4.40741438e6,0.0850262250850403,0.6429348427358521,0.28955065632838206,B
64-1,328156.6,4.40795433e6,0.5216050632986541,2.552493255069282e-16,0.46750658246790855,A
68A-1,328229.72,4.40707921e6,2.644769818254882e-16,0.463390479738165,0.5857541977261524,A
68B-1,328065.7,4.40706164e6,3.308798379587813e-12,0.473153913044138,0.573984658582018,A
77-1,328214.13,4.40718169e6,5.374595143497185e-8,0.46205077538388,0.644789462861174,A
81-1,328567.28,4.40851194e6,0.20841259875558985,3.5772459911100756e-6,0.39980726459039817,A
81-11,326859.34,4.4069495e6,0.48301093144232404,0.15340965065237608,2.951990097978461e-16,C
81A-1,328598.76,4.40855648e6,0.00020839082944370846,0.12331805739269767,0.2899122986661913,A
81B-1,328528.63,4.40843124e6,0.2407549719143839,7.261458859467608e-10,0.48533420196227073,A
82A-11,326907.12,4.40670723e6,0.90212710068703,2.552493255069282e-16,2.951990097978461e-16,C
82A-11-RD1,326907.12,4.40670723e6,0.9029817583063128,2.552493255069282e-16,2.951990097978461e-16,C
82A-11-RD2,326907.12,4.40670723e6,0.9022045791920131,2.552493255069282e-16,2.951990097978461e-16,C
82A-11-RD3,326907.12,4.40670723e6,0.9022045791920131,2.552493255069282e-16,2.951990097978461e-16,C
88-11,326889.0,4.40544507e6,0.16319496924437166,0.06666113294336998,0.4704407961346581,A
B1,327745.53,4.40596877e6,0.3380367111614329,0.00010002253309052337,0.6021485046528217,A
B2,327721.65,4.40609786e6,0.3217734993027557,0.03836865200997074,0.6251167039382962,A
B3,327738.97,4.40619405e6,5.781332592351377e-8,0.6271617678027414,0.305734529244389,B
B4,327778.14,4.40639034e6,0.09247898621864303,0.9164232410341748,0.0009436833925997495,B
B5,327713.81,4.40629808e6,0.5668913536663107,0.14607024984273279,0.39111544829449746,C
B5A,327754.04,4.40637455e6,2.616314599113684e-7,0.7596147668239953,0.2448717268352916,B
B6,327848.36,4.40636567e6,0.04085732721112242,0.6524437353997989,0.4797091226509908,B
B7,327784.51,4.40629935e6,0.015899331244062155,0.7884951798236948,0.5307838426155467,B
B8,327603.56,4.40643766e6,9.669902564856673e-6,0.7317039681902613,2.951990097978461e-16,B
BCH-1,328398.2,4.40887416e6,0.2127083630452053,8.911558119275538e-16,0.33613893139208517,A
BCH-2,327732.14,4.40800628e6,0.5027289705725598,1.8266893885843126e-6,0.2280253706323038,C
BCH-3,327126.74,4.40600409e6,0.34181549899840336,3.784245775315284e-11,0.5405317773337465,A
EE-1,327575.0,4.40640489e6,0.07291316492840728,0.6456119814045571,2.951990097978461e-16,B
MG-1(SP-1),328194.09,4.4071925e6,4.5234098339648044e-5,0.4522412002493113,0.6196963025272021,A
MG-2(SP-2),328128.08,4.4076273e6,0.5852751444291944,1.3160667678594737e-13,0.6591183163961505,A
MGI-1,327853.91,4.40678619e6,5.9169330887794725e-5,0.7201289113430591,0.009702232769168033,B
MGI-2,327994.35,4.40709171e6,0.3409390383215427,0.26066427749400434,0.5462541593145469,A
