Name,X,Y,S1,S2,S3,S4,Cluster
15-12,327137.93,4.40603467e6,0.7344181053991865,0.8334377001151084,0.7235419397500534,0.1496178325930846,B
17-31,328813.04,4.40882204e6,0.27234593872548757,0.3735872174552558,0.3611633748879485,0.1585565419019763,B
18-1,327026.54,4.40703217e6,0.7909569181645293,0.6222917738740005,0.6805044149751596,0.3571925627903058,D
18-31,328801.97,4.40871725e6,0.1213352194427557,0.262289473562377,0.3001937667630805,0.10014794276530484,B
18A-1,327056.33,4.40703775e6,0.755079894925306,0.5246852722771359,0.7136578755903744,0.37946610608616144,D
18B-31,328791.32,4.40871144e6,0.16089608401535466,0.3519327141679974,0.3231533116433454,0.10710934077492,B
18D-31,328751.91,4.40862911e6,0.20332333375630152,0.30372447914740697,0.3064171248524546,0.05582475642559205,B
22-13,327161.72,4.4051245e6,0.9098413751791312,0.3086978446562332,0.6051038900500302,0.07324682462068778,D
26-12,327300.66,4.40579963e6,0.5004876750170582,0.44843836520569197,0.4077118340807219,0.3098319382605041,A
27-1,327256.49,4.40720478e6,0.5048458866935425,0.4262902873172382,0.9999984824576007,0.31068406538686155,B
27A-1,327256.49,4.40720478e6,0.5048461318733287,0.4262906790139549,1.0,0.31068293688872684,B
46-1,327805.01,4.40748476e6,0.25586589964221734,0.4978840628017558,0.7315078598985548,0.4731133772602305,C
46A-1,327774.78,4.40740108e6,0.24679899820891707,0.44541357398199877,0.7219515813312325,0.5091436978677077,C
47A-1,327661.35,4.40729129e6,0.3522925256722102,0.5133596384272772,0.9135011387584097,0.7148505469009064,C
47C-1,327746.25,4.4073085e6,0.28482828639845637,0.4334680162556757,0.7873817312561745,0.6132054674511758,C
48A-1,327704.9,4.40718065e6,0.16591628635058403,0.11891032445331204,0.5663282217461988,0.4384143572968048,C
55-1,328014.47,4.40772054e6,0.3533245688524128,0.9503412290201652,0.4785980892563635,0.6251426299385644,A
56-1,327963.43,4.40755491e6,0.4986769326794574,1.0,0.7884823425138252,0.6934998557408197,A
56A-1,327859.51,4.40755578e6,0.2914186428390351,0.7528197915696475,0.7433948430232866,0.5858707633032784,A
56B-1,327891.35,4.40745289e6,0.1449893844463993,0.2672465181916397,0.5639174265317959,0.3856877023965351,C
57-1,327931.46,4.40741438e6,0.556207057044358,0.9485027052626458,0.9319668916606875,0.7446951566002579,A
64-1,328156.6,4.40795433e6,0.4543606180838355,0.5223128243534516,0.6153566995778854,1.0,A
68A-1,328229.72,4.40707921e6,0.8694816146594432,0.6727525640056198,0.5333227979834568,0.8651687830488859,A
68B-1,328065.7,4.40706164e6,0.47849058811496,0.7576403784337301,0.5359901150639826,0.905832190295372,A
77-1,328214.13,4.40718169e6,0.80796592998807,0.8223811693571402,0.5950105175620654,0.8294346530018842,A
81-1,328567.28,4.40851194e6,0.13122096403912886,0.23657151397229179,0.3052922492237888,0.09826296217190204,B
81-11,326859.34,4.4069495e6,0.2582579915517091,0.351891257370791,0.6472874970809956,0.1059379631995424,B
81A-1,328598.76,4.40855648e6,0.09804453273882124,0.20817535043949087,0.3002567233353424,0.10468077237819567,B
81B-1,328528.63,4.40843124e6,0.1383147899630264,0.32382082531442274,0.28714843642112187,0.06350771999398426,B
82A-11,326907.12,4.40670723e6,0.8162214820388184,0.21187601731416633,0.6767700714930059,0.06746105954782511,D
82A-11-RD1,326907.12,4.40670723e6,0.8162090639021198,0.21186982719371236,0.6768066820774337,0.06743709185452422,D
82A-11-RD2,326907.12,4.40670723e6,0.8160856222237142,0.2118803820682796,0.6769142016202331,0.06742938515165522,D
82A-11-RD3,326907.12,4.40670723e6,0.8161091279877648,0.21187679515275892,0.6768821105426002,0.06744615820291942,D
88-11,326889.0,4.40544507e6,1.0,0.5622799073890887,0.4823601996264156,0.1724057953737336,D
B1,327745.53,4.40596877e6,0.6031886372631573,0.48420062940573355,0.3372491704760168,0.3831183011849036,A
