Name,S1,S2,Signal
Normal stress,0.781944934070952,0.26456747123621444,A
Coulomb shear stress,0.777770669433518,0.27265899902246216,A
Dilation,0.8821264843162798,0.25896842305977086,A
Faulting,1.0,0.3074232078665464,A
Fault dilation tendency,3.6369209211786495e-16,1.0,B
Fault slip tendency,3.6369209211786495e-16,0.7061461395777434,B
Fault curvature,3.6369209211786495e-16,0.8906899843519794,B
Temperature,3.6369209211786495e-16,0.23930605182825848,B
Fault density,0.9883146433896198,0.37094325114281385,A
Fault intersection density,0.7837192653290842,0.3382396905869837,A
Inverse distance from faults,0.9165475637600692,0.594888475864857,A
