Name,X,Y,S1,S2,Cluster
15-12,327137.93,4.40603467e6,3.8531275240642437e-16,0.977401463638099,B
17-31,328813.04,4.40882204e6,0.8403509247579213,0.001175782004203495,A
18-1,327026.54,4.40703217e6,0.29291172495998596,0.6379606876871381,B
18-31,328801.97,4.40871725e6,0.29387795149587664,0.7975513127334652,B
18A-1,327056.33,4.40703775e6,0.35212203467138997,0.5412426553896756,B
18B-31,328791.32,4.40871144e6,0.4218829683438622,0.6845953006914021,B
18D-31,328751.91,4.40862911e6,0.46193198472060554,0.6625857276409677,B
22-13,327161.72,4.4051245e6,0.18300901329484714,0.5555242653820601,B
26-12,327300.66,4.40579963e6,0.5447302132804728,0.34329785049770883,A
27-1,327256.49,4.40720478e6,2.130116417800065e-9,0.9166249791025494,B
27A-1,327256.49,4.40720478e6,2.1243482806078853e-9,0.9166254709681729,B
46-1,327805.01,4.40748476e6,0.5375769358380545,0.46750665404996367,A
46A-1,327774.78,4.40740108e6,0.5998182121739796,0.39169996194901346,A
47A-1,327661.35,4.40729129e6,0.7824195432745953,0.147342097812747,A
47C-1,327746.25,4.4073085e6,0.44333160132603266,0.5653389968616697,B
48A-1,327704.9,4.40718065e6,0.47426586489778805,0.443432658163432,A
55-1,328014.47,4.40772054e6,0.7145094784285423,0.38753284701202495,A
56-1,327963.43,4.40755491e6,0.8257773031020009,0.2493632560093053,A
56A-1,327859.51,4.40755578e6,0.35851429653179634,0.7530290987118068,B
56B-1,327891.35,4.40745289e6,0.8737695834947807,0.06299637044323667,A
57-1,327931.46,4.40741438e6,0.844385135709274,0.28187978024890015,A
64-1,328156.6,4.40795433e6,0.6257815729902593,0.2920043207671494,A
68A-1,328229.72,4.40707921e6,0.9022315301666501,0.10326438171251544,A
68B-1,328065.7,4.40706164e6,0.7687807698208936,0.3710146408669832,A
77-1,328214.13,4.40718169e6,0.7685210038753562,0.3047910607283791,A
81-1,328567.28,4.40851194e6,0.4510115634824714,0.48785671005086845,B
81-11,326859.34,4.4069495e6,0.1977051393685544,0.6190711223125132,B
81A-1,328598.76,4.40855648e6,0.41769254881866896,0.49697043289266607,B
81B-1,328528.63,4.40843124e6,0.3597114895508326,0.7337394288440284,B
82A-11,326907.12,4.40670723e6,1.2662958500800446e-15,0.7249368755732609,B
82A-11-RD1,326907.12,4.40670723e6,1.2599946354495836e-15,0.7249368755732609,B
82A-11-RD2,326907.12,4.40670723e6,1.2488248270238956e-15,0.7249368755732609,B
82A-11-RD3,326907.12,4.40670723e6,1.2616660188348209e-15,0.7249368755732609,B
88-11,326889.0,4.40544507e6,0.22190845533971662,0.6237372358886069,B
B1,327745.53,4.40596877e6,0.5748629843247988,0.298992745538316,A
B2,327721.65,4.40609786e6,0.5418592741013073,0.3899057795217933,A
B3,327738.97,4.40619405e6,0.9874931994002133,6.464109513136568e-6,A
B4,327778.14,4.40639034e6,0.934926386954637,0.14477688957785975,A
B5,327713.81,4.40629808e6,0.5544983433066949,0.3843489449059995,A
B5A,327754.04,4.40637455e6,0.834070954970253,0.21249627356563214,A
B6,327848.36,4.40636567e6,0.6777964250518866,0.4171233979189012,A
B7,327784.51,4.40629935e6,1.0,0.2400674929753857,A
B8,327603.56,4.40643766e6,0.8648224526659083,0.022400795716737382,A
BCH-1,328398.2,4.40887416e6,0.24385282834424307,0.6475167911596391,B
BCH-2,327732.14,4.40800628e6,0.4604481416160093,0.470419310082808,B
BCH-3,327126.74,4.40600409e6,4.4709243416914366e-13,1.0,B
EE-1,327575.0,4.40640489e6,0.8332901893930345,0.05574530304257446,A
MG-1(SP-1),328194.09,4.4071925e6,0.6483988210116853,0.4002504115867666,A
MG-2(SP-2),328128.08,4.4076273e6,0.6643253193018749,0.29667369011975925,A
MGI-1,327853.91,4.40678619e6,0.8028358630197098,0.2966069480214414,A
MGI-2,327994.35,4.40709171e6,0.7918336640843343,0.5722416462138505,A
