Name,S1,S2,Cluster
Normal stress,0.5349486723580364,0.7018134207190404,A
Coulomb shear stress,0.5000228342334884,0.7339568818102736,A
Dilation,0.6808985102076199,0.6605342866168388,A
Faulting,0.7598029444589338,0.8044214276464512,A
Fault dilation tendency,0.5107317011432038,0.44875992180081603,A
Fault slip tendency,0.37300747735410683,0.3045806918043999,A
Fault curvature,0.4587090433149565,0.3970423207797376,A
Temperature,0.11754862906925082,0.10087072065779942,A
Fault density,1.0,0.5905519741207107,B
Fault intersection density,0.7808337827879831,0.45066831778646305,B
Inverse distance from contacts,0.47666030028884415,0.14304711708478296,B
Inverse distance from faults,0.9604416354279751,1.0,A
Unit thickness,0.8742220823189457,0.9904414079282635,A
Lithology,0.4053461693240856,0.6820142435788045,A
