Name,X,Y,S1,S2,S3,S4,S5,S6,Cluster
15-12,327137.93,4.40603467e6,5.47214127645592e-16,8.687044221135252e-7,0.5004653316586642,3.144328481273667e-16,4.2070084351833115e-15,0.9538864370829132,F
17-31,328813.04,4.40882204e6,0.5408908185977381,4.081808417058741e-16,4.641090200925287e-16,0.5440739751438337,0.07256014404093379,0.0585400316464068,B
18-1,327026.54,4.40703217e6,0.14514596822057071,0.4148001920011799,0.6649144411418613,3.144328481273667e-16,0.2588408253289988,3.982630228975079e-16,A
18-31,328801.97,4.40871725e6,0.8530803604794401,4.081808417058741e-16,0.5217060342342232,0.08413050836796478,0.14027949048553373,0.021683144265252946,C
18A-1,327056.33,4.40703775e6,5.47214127645592e-16,0.3344193440854034,0.69736299918094,3.144328481273667e-16,0.3198712212888105,3.982630228975079e-16,E
18B-31,328791.32,4.40871144e6,0.8004045568188415,4.081808417058741e-16,0.5903590193352592,0.07808121799922424,0.0903410251620574,0.03170275524348628,C
18D-31,328751.91,4.40862911e6,0.6375872078232044,0.20626276523713752,0.5148753264317534,9.737990164840256e-8,0.28248402398042627,0.08336856775528455,C
22-13,327161.72,4.4051245e6,0.6768157487818455,4.081808417058741e-16,0.27697245384619806,3.144328481273667e-16,0.12494842417948158,0.10328843053849397,C
26-12,327300.66,4.40579963e6,0.3897571624792822,4.081808417058741e-16,4.641090200925287e-16,0.21581072651540545,0.2590032082168155,0.5503546573799885,D
27-1,327256.49,4.40720478e6,5.47214127645592e-16,4.081808417058741e-16,0.8061539290047722,0.0005348844353435942,3.7909638036489264e-16,0.4899537283178612,F
27A-1,327256.49,4.40720478e6,5.47214127645592e-16,4.081808417058741e-16,0.8061420553593579,0.0005486501268769258,3.7909638036489264e-16,0.48994576149557545,F
46-1,327805.01,4.40748476e6,0.5733151771099683,4.081808417058741e-16,4.641090200925287e-16,3.144328481273667e-16,0.8966375120456451,0.19380215049657842,D
46A-1,327774.78,4.40740108e6,0.4916034453022048,4.081808417058741e-16,4.641090200925287e-16,3.144328481273667e-16,0.936533006977784,0.25362129352301993,D
47A-1,327661.35,4.40729129e6,0.00013217632339883776,4.081808417058741e-16,4.641090200925287e-16,0.37168012176178933,0.7824851309415339,3.929768471404103e-12,D
