Name,S1,S2
Normal stress,11627.133211756856,9065.794064802029
Coulomb shear stress,12255.89163602315,8347.176098416838
Dilation,11207.604257215118,11389.447514355348
Faulting,13822.664419239305,12421.85376643141
Fault dilation tendency,7594.038668770735,8559.872020288803
Fault slip tendency,5162.293334001195,6272.268729020292
Fault curvature,6683.244422003418,7742.27843108189
Temperature,1736.2794475996052,1934.1071320408817
Fault density,11145.588593563323,16130.691260454072
Fault intersection density,8072.829209541711,13149.938493750837
Inverse distance from contacts,2428.141047039465,8476.13960660488
Inverse distance from faults,16.95546604361481,10.50530769868869
Unit thickness,3498.3844674785228,5189.623550508935
Lithology,11657.226933331298,6448.03752617731
