Name,S1,S2,Cluster
Normal stress,0.8411643992147735,0.5620214235348789,B
Coulomb shear stress,0.8866518975143883,0.5174716919218916,B
Dilation,0.8108135969513683,0.706073120516395,A
Faulting,1.0,0.7700757249557413,B
Fault dilation tendency,0.5493903663175709,0.5306574828119205,A
Fault slip tendency,0.37346586572817114,0.3888406657684508,A
Fault curvature,0.4834989998528238,0.4799718937069252,A
Temperature,0.12561105405864703,0.11990230925704527,A
Fault density,0.806327076713962,1.0,A
Fault intersection density,0.5840284452182323,0.8152123353813835,A
Inverse distance from contacts,0.17566374856498843,0.5254666070873816,A
Inverse distance from faults,0.0012266423845185058,0.0006512620897061896,B
Unit thickness,0.25309045791556933,0.3217235682411077,A
Lithology,0.8433415280708105,0.39973721039378446,B
