LATITUDE_NAD83,LONGITUDE_NAD83,TEMP_C,GEOTHERMOMETER_QUARTZ_C,GEOTHERMOMETER_CHALCEDONY_C,pH_FIELD,TDS_LAB,AL_PPM,B_PPM,BA_PPM,BE_PPM,BR_PPM,CA_PPM,CL_PPM,HCO3_PPM,K_PPM,LI_PPM,MG_PPM,NA_PPM,δO18
39.80579,-110.87099,12.0,19.429566,-13.46180969,7.7,,,0.04,,,,69.0,20.0,,1.4,0.01,25.0,21.0,
39.47886,-111.00711,3.5,22.5641549,-10.32532792,7.9,,,0.02,,,,68.0,4.0,,1.2,,20.0,2.1,
39.41025,-111.03461,11.5,,,7.4,,,,,,,,,,,,,,
39.44302,-111.03961,10.166666666666666,35.74221122,2.9547486756666665,7.099999999999999,,,0.1,0.1235,0.0005,,140.0,4.3999999999999995,,4.8,0.026333333333333334,57.666666666666664,6.8999999999999995,
39.88135,-110.89655,12.5,45.27805007,12.65775451,7.3,,,,,,,42.0,2.8,,,,17.0,,
39.43413,-111.05961,4.0,28.12262066,-4.742635979,7.2,,,0.02,,,,70.0,3.2,,0.6,,25.0,3.4,
39.4233,-111.066,4.5,28.55037887,-4.311903106,7.5,,,0.03,,,,76.0,4.1,,1.0,,31.0,4.8,
39.4658,-111.05322,5.2,21.54955234,-11.34146954,7.1,,,0.02,,,0.2,74.0,2.9,,0.5,,15.0,1.9,
39.42858,-111.06961,4.5,,,7.3,,,,,,,,,,,,,,
39.32108,-111.11211000000002,8.0,,,,,,,,,,,,,,,,,
39.71691,-110.9735,6.0,34.0850877,1.275675079,7.5,,,0.12,,,,130.0,37.0,,7.8,0.03,77.0,29.0,
39.49469000000001,-111.056,10.0,26.80931205,-6.064084175,7.3,,,0.02,,,0.0,87.0,3.3,,1.7,,29.0,2.3,
39.49469000000001,-111.05628,8.5,28.12262066,-4.742635979,7.2,,,,,,0.0,110.0,3.2,,2.0,,35.0,2.2,
39.49469000000001,-111.05656,8.5,24.51179877,-8.372239439,7.6,,,,,,0.1,68.0,2.3,,1.2,,23.0,1.8,
39.32802,-111.11628,14.0,,,,,,,,,,,,,,,,,
39.34552,-111.11267,5.0,,,,,,,,,,,,,,,,,
39.32024000000001,-111.12184,8.0,,,8.4,,,,,,,,,,,,,,
39.31941,-111.12239,10.2,37.60833524,4.846541817,7.3,,,0.1,,,,120.0,18.0,,4.5,0.03,81.0,26.0,
39.32163,-111.12378,11.5,31.80952422,-1.024862298,7.8,,,0.02,,,0.1,100.0,8.4,,2.2,,43.0,18.0,
39.32191,-111.12378,13.333333333333334,34.55955105,1.7563919606666667,7.333333333333333,,,0.10000000000000002,0.4,,,75.33333333333333,10.299999999999999,,3.3333333333333335,0.02,52.333333333333336,21.666666666666668,
39.32187,-111.12383,29.0,33.34120526,0.523130341,7.800000191,549.0,,0.07,,,,85.0,10.0,420.0,3.0,,56.0,21.0,
39.33497,-111.11988999999998,12.0,32.19814028,-0.632301809,7.2,,,0.05,,,,130.0,11.0,,2.9,,39.0,18.0,
39.31969,-111.12795,11.5,29.80538087,-3.047255133,7.0,,,0.1,,,,210.0,21.0,,4.7,,120.0,28.0,
39.31997,-111.12795,11.5,28.55037887,-4.311903106,7.0,,,0.1,,,,210.0,20.0,,4.9,,140.0,25.0,
39.32802,-111.12573,12.5,25.90736547,-6.970753847,7.2,,,0.09,,,,130.0,10.0,,2.7,,65.0,19.0,
39.3233,-111.12795,10.0,28.97334524,-3.885838932,7.3,,,0.08,,,,150.0,13.0,,3.9,,82.0,19.0,
39.31941,-111.13017,13.0,28.97334524,-3.885838932,7.8,,,0.08,,,,96.0,9.4,,2.8,,50.0,20.0,
39.32858,-111.12739,13.0,28.97334524,-3.885838932,7.1,,,0.05,,,,120.0,11.0,,2.9,,58.0,20.0,
39.40386,-111.10100000000001,9.5,26.36107635,-6.514755261,6.8,,,0.02,,,,78.0,4.0,,1.1,0.01,30.0,4.1,
39.3933,-111.10489,10.357142857142858,39.26050119,6.524796747999999,7.575,,,0.07,,,,92.0,15.0,,3.9,,69.0,24.0,
